data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2025-03-13,TikTok Ads,27797,0,54.82,0.0,0.0,0.0,0.0,1.97,0.0,0.0
2025-03-14,TikTok Ads,25077,0,54.48,0.0,0.0,0.0,0.0,2.17,0.0,0.0
2025-03-15,TikTok Ads,23388,0,50.76,0.0,0.0,0.0,0.0,2.17,0.0,0.0
2025-03-16,TikTok Ads,15841,0,31.71,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2025-03-17,TikTok Ads,9758,0,18.86,0.0,0.0,0.0,0.0,1.93,0.0,0.0
2025-03-18,TikTok Ads,8882,0,18.45,0.0,0.0,0.0,0.0,2.08,0.0,0.0
2025-03-19,TikTok Ads,14343,5,38.09,0.0,0.0,0.03,7.62,2.66,0.0,0.0
2025-03-20,TikTok Ads,16291,2,60.33,0.0,0.0,0.01,30.17,3.7,0.0,0.0
2025-03-21,TikTok Ads,16277,1,59.33,0.0,0.0,0.01,59.33,3.65,0.0,0.0
2025-03-22,TikTok Ads,15477,3,61.04,0.0,0.0,0.02,20.35,3.94,0.0,0.0
2025-03-23,TikTok Ads,15600,3,60.7,0.0,0.0,0.02,20.23,3.89,0.0,0.0
2025-03-24,TikTok Ads,13957,3,57.16,0.0,0.0,0.02,19.05,4.1,0.0,0.0
2025-03-25,TikTok Ads,20392,0,82.6,0.0,0.0,0.0,0.0,4.05,0.0,0.0
2025-03-26,TikTok Ads,24067,2,130.89,0.0,0.0,0.01,65.45,5.44,0.0,0.0
2025-03-27,TikTok Ads,23185,1,118.34,0.0,0.0,0.0,118.34,5.1,0.0,0.0
2025-03-28,TikTok Ads,21361,0,83.76,0.0,0.0,0.0,0.0,3.92,0.0,0.0
2025-03-29,TikTok Ads,27217,1,122.4,0.0,0.0,0.0,122.4,4.5,0.0,0.0
2025-03-30,TikTok Ads,25299,3,108.52,0.0,0.0,0.01,36.17,4.29,0.0,0.0
2025-03-31,TikTok Ads,9305,0,39.86,0.0,0.0,0.0,0.0,4.28,0.0,0.0
2025-04-01,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,TikTok Ads,4052,0,4.39,0.0,0.0,0.0,0.0,1.08,0.0,0.0
2025-04-03,TikTok Ads,9903,0,12.81,0.0,0.0,0.0,0.0,1.29,0.0,0.0
2025-04-04,TikTok Ads,13226,0,19.16,0.0,0.0,0.0,0.0,1.45,0.0,0.0
2025-04-05,TikTok Ads,13725,0,19.34,0.0,0.0,0.0,0.0,1.41,0.0,0.0
2025-04-06,TikTok Ads,14151,0,19.48,0.0,0.0,0.0,0.0,1.38,0.0,0.0
2025-04-07,TikTok Ads,12136,0,18.44,0.0,0.0,0.0,0.0,1.52,0.0,0.0
2025-04-08,TikTok Ads,11096,0,18.29,0.0,0.0,0.0,0.0,1.65,0.0,0.0
2025-04-09,TikTok Ads,11029,0,18.44,0.0,0.0,0.0,0.0,1.67,0.0,0.0
