data,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025-12-10,GERAL,GERAL,Google Ads,320585,1629,1802.1110700000004,6299.237236999999,5.0,0.00277452377005819,0.28608401338099987,0.5081335683204142
2025-12-10,NS,NS,Meta Ads,76543,407,152.6,0.0,0.0,0.0,0.0,0.531727264413467
2025-12-10,NR,NR,Meta Ads,280162,591,516.7,0.0,0.0,0.0,0.0,0.21094937928769786
2025-12-10,GS,GS,Meta Ads,141274,335,250.7,0.0,0.0,0.0,0.0,0.23712785084304258
2025-12-10,CS,CS,Meta Ads,34999,255,83.66999999999999,0.0,0.0,0.0,0.0,0.7285922454927284
2025-12-10,BS,BS,Meta Ads,48851,235,101.83,0.0,0.0,0.0,0.0,0.48105463552434957
2025-12-11,GERAL,GERAL,Google Ads,317505,1717,1840.8395880000003,7212.481813,10.0,0.0054323038602535735,0.25522970258060323,0.5407788853718839
2025-12-11,NS,NS,Meta Ads,84037,438,181.01999999999998,0.0,0.0,0.0,0.0,0.5211989956804741
2025-12-11,NR,NR,Meta Ads,201913,460,396.05,0.0,0.0,0.0,0.0,0.22782089315695375
2025-12-11,GS,GS,Meta Ads,141208,391,278.77,0.0,0.0,0.0,0.0,0.2768964931165373
2025-12-11,CS,CS,Meta Ads,60677,325,128.45,0.0,0.0,0.0,0.0,0.5356230532162104
2025-12-11,BS,BS,Meta Ads,220050,515,427.31,0.0,0.0,0.0,0.0,0.23403771870029538
2025-12-12,NS,NS,Meta Ads,90764,463,190.33,0.0,0.0,0.0,0.0,0.5101141421709048
2025-12-12,GS,GS,Meta Ads,123964,407,257.45,0.0,0.0,0.0,0.0,0.32832112548804493
2025-12-12,CS,CS,Meta Ads,79182,419,175.99,0.0,0.0,0.0,0.0,0.5291606678285469
2025-12-12,BS,BS,Meta Ads,277802,597,555.8799999999999,0.0,0.0,0.0,0.0,0.2149012606100748
2025-12-12,NR,NR,Meta Ads,194775,544,387.30999999999995,0.0,0.0,0.0,0.0,0.27929662431010144
2025-12-12,GERAL,GERAL,Google Ads,280021,1950,1848.049053,7536.020682,12.0,0.006493334135541477,0.2452287660799708,0.6963763432028311
2025-12-13,GS,GS,Meta Ads,135797,485,280.19,0.0,0.0,0.0,0.0,0.3571507470709957
2025-12-13,BS,BS,Meta Ads,207605,614,417.41999999999996,0.0,0.0,0.0,0.0,0.29575395582958025
2025-12-13,NR,NR,Meta Ads,178329,551,356.96,0.0,0.0,0.0,0.0,0.3089794705291904
2025-12-13,GERAL,GERAL,Google Ads,276686,2287,1766.735467,7791.753443,5.0,0.0028300784658442588,0.226744272637016,0.8265687457984864
2025-12-13,NS,NS,Meta Ads,98019,538,207.52,0.0,0.0,0.0,0.0,0.5488731776492313
2025-12-13,CS,CS,Meta Ads,99375,463,200.89,0.0,0.0,0.0,0.0,0.46591194968553457
2025-12-14,GERAL,GERAL,Google Ads,303606,2774,1823.4503939999997,7537.6933500000005,6.0,0.0032904651641430947,0.24191092809579468,0.9136841827895364
2025-12-14,BS,BS,Meta Ads,96812,493,204.94,0.0,0.0,0.0,0.0,0.5092343924306905
2025-12-14,GS,GS,Meta Ads,89026,428,186.69,0.0,0.0,0.0,0.0,0.48075843012153746
2025-12-14,NR,NR,Meta Ads,115937,471,218.54000000000005,0.0,0.0,0.0,0.0,0.4062551213158871
2025-12-14,NS,NS,Meta Ads,110813,547,207.04000000000002,0.0,0.0,0.0,0.0,0.4936243942497721
