mes,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025-12,BS,BS,Meta Ads,2155505,11389,4273.55,0,0,0.0,0.0,0.528368062240635
2025-12,CS,CS,Meta Ads,4550875,18766,7632.4,0,0,0.0,0.0,0.4123602603894856
2025-12,GS,GS,Meta Ads,2906631,8931,4991.59,0,0,0.0,0.0,0.307262944625582
2025-12,NK,NK,Meta Ads,3736842,14026,6097.51,0,0,0.0,0.0,0.3753436725448922
2025-12,NR,NR,Meta Ads,3089892,12019,5157.11,0,0,0.0,0.0,0.38897799664195387
2025-12,NS,NS,Meta Ads,3517200,15506,5882.36,0,0,0.0,0.0,0.44086204935744344
2026-01,BS,BS,Meta Ads,3671535,7420,5506.25,0,0,0.0,0.0,0.2020953089103059
2026-01,CS,CS,Meta Ads,7020553,13658,8594.78,0,0,0.0,0.0,0.1945430794411779
2026-01,GS,GS,Meta Ads,4801831,7963,7122.58,0,0,0.0,0.0,0.16583257511561736
2026-01,NK,NK,Meta Ads,4821637,9401,7049.09,0,0,0.0,0.0,0.19497527499477874
2026-01,NR,NR,Meta Ads,5281385,10906,7884.41,0,0,0.0,0.0,0.20649886346100502
2026-01,NS,NS,Meta Ads,5249636,13069,7833.1900000000005,0,0,0.0,0.0,0.2489505939078443
2026-02,BS,BS,Meta Ads,6752848,11666,8964.77,0,0,0.0,0.0,0.17275673908253228
2026-02,CS,CS,Meta Ads,5706408,16568,7919.7,0,0,0.0,0.0,0.2903402630866913
2026-02,GS,GS,Meta Ads,3862997,5397,5705.62,0,0,0.0,0.0,0.13971017839257965
2026-02,NK,NK,Meta Ads,4172890,4991,5596.46,0,0,0.0,0.0,0.11960535743813042
2026-02,NR,NR,Meta Ads,6210228,8681,7928.47,0,0,0.0,0.0,0.13978552800315866
2026-02,NS,NS,Meta Ads,4533855,6796,5684.65,0,0,0.0,0.0,0.14989451581490806
2026-03,BS,BS,Meta Ads,2089809,2291,2732.88,0,0,0.0,0.0,0.10962724344664991
2026-03,CS,CS,Meta Ads,29410,53,35.980000000000004,0,0,0.0,0.0,0.18021081264875893
2026-03,GS,GS,Meta Ads,761199,954,960.79,0,0,0.0,0.0,0.1253285934427134
2026-03,NK,NK,Meta Ads,1108659,1279,1272.76,0,0,0.0,0.0,0.11536459813161666
2026-03,NR,NR,Meta Ads,2302377,3181,3763.92,0,0,0.0,0.0,0.138161560856454
2026-03,NS,NS,Meta Ads,1937446,2006,2580.2200000000003,0,0,0.0,0.0,0.10353836958552651
