plataforma,dispositivo,impressoes,cliques,custo,conversoes,sessoes,usuarios,ctr
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,7,1,1.329679,0.0,,,14.285714285714285
Google Ads,OTHER,11,1,1.128256,0.0,,,9.090909090909092
Google Ads,OTHER,7,0,0.0,0.0,,,0.0
Google Ads,OTHER,20,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,10,0,0.0,0.0,,,0.0
Google Ads,OTHER,8,1,1.826904,0.0,,,12.5
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,21,1,0.411383,0.0,,,4.761904761904762
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,9,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,11,1,1.156803,0.0,,,9.090909090909092
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,9,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,1,1.149064,0.0,,,20.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,19,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,9,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,16,0,0.0,0.0,,,0.0
Google Ads,OTHER,11,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,9,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,6,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,7,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,8,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,4,0,0.0,0.0,,,0.0
Google Ads,OTHER,14,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,5,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,9,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,7,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
