date,landingPage,sessionSource,sessionMedium,sessions,totalUsers,bounceRate,averageSessionDuration,conversions,totalRevenue
20250429,/pt-br/norte-shopping/ajfans,tiktok,paid,744.0,720.0,0.793010752688172,39.96336275672043,0.0,0.0
20250503,/pt-br/norte-shopping/ajfans,tiktok,paid,725.0,703.0,0.7806896551724138,34.67301560827587,0.0,0.0
20250507,/pt-br/neumarkt-shopping/ajfans,tiktok+,cpc,711.0,557.0,0.6469760900140648,250.58065457805907,0.0,0.0
20250501,/pt-br/norte-shopping/ajfans,tiktok,paid,646.0,620.0,0.7848297213622291,40.067194515479876,0.0,0.0
20250430,/pt-br/norte-shopping/ajfans,tiktok,paid,633.0,617.0,0.7614533965244866,44.966699394944705,0.0,0.0
20250506,/pt-br/neumarkt-shopping/ajfans,tiktok+,cpc,602.0,462.0,0.5664451827242525,248.8483731229236,0.0,0.0
20250504,/pt-br/norte-shopping/ajfans,tiktok,paid,560.0,552.0,0.8178571428571428,34.31987139642857,2.0,0.0
20250524,/pt-br/nossos-shoppings,(direct),(none),555.0,541.0,0.5891891891891892,74.5046914108108,0.0,0.0
20250505,/pt-br/balneario-shopping/ajfans,tiktok+,cpc,523.0,381.0,0.621414913957935,203.08901450478012,0.0,0.0
20251016,/pt-br/norte-shopping/ajfans,ig,paid,511.0,510.0,0.4892367906066536,66.26459645792563,17.0,0.0
20250525,/pt-br/nossos-shoppings,(direct),(none),487.0,469.0,0.5831622176591376,66.03653524229979,0.0,0.0
20250502,/pt-br/continente-shopping/ajfans,tiktok,paid,480.0,472.0,0.8125,23.62897895833333,0.0,0.0
20260208,/pt-br/nossos-shoppings,(direct),(none),475.0,462.0,0.6336842105263157,46.621548774736844,0.0,0.0
20251018,/pt-br/norte-shopping/ajfans,ig,paid,473.0,466.0,0.4799154334038055,86.20751053911206,8.0,0.0
20260207,/pt-br/nossos-shoppings,(direct),(none),467.0,455.0,0.6059957173447538,44.8607226980728,0.0,0.0
20250503,/pt-br/continente-shopping/ajfans,tiktok,paid,463.0,453.0,0.8120950323974082,19.246140691144706,0.0,0.0
20250505,/pt-br/continente-shopping/ajfans,tiktok,paid,422.0,413.0,0.8554502369668247,15.35759882227488,0.0,0.0
20250906,/pt-br/nossos-shoppings,(direct),(none),403.0,381.0,0.6277915632754343,52.61929551364764,2.0,0.0
20250506,/pt-br/garten-shopping/ajfans,tiktok,paid,400.0,312.0,0.625,204.87788434750001,0.0,0.0
20250505,/pt-br/neumarkt-shopping/ajfans,tiktok+,cpc,395.0,328.0,0.5822784810126582,239.38216271139243,0.0,0.0
20250809,/pt-br,hs-wif-5bc-87h-xnx.wifeed.com.br,referral,390.0,381.0,0.9384615384615385,4.8623003256410255,14.0,0.0
20250430,/pt-br/continente-shopping/ajfans,tiktok,paid,384.0,373.0,0.8177083333333334,22.310552088541666,0.0,0.0
20250429,/pt-br/continente-shopping/ajfans,tiktok,paid,375.0,360.0,0.8053333333333333,29.273574637333333,0.0,0.0
20250901,/pt-br/nacoes-shopping/ajfans,google,cpc,369.0,365.0,0.7831978319783198,64.79121510027099,0.0,0.0
20250505,/pt-br/garten-shopping/ajfans,tiktok,paid,352.0,286.0,0.5880681818181818,276.0913890596591,0.0,0.0
20250907,/pt-br/nossos-shoppings,(direct),(none),345.0,333.0,0.6231884057971014,44.19780067826087,1.0,0.0
20251020,/pt-br/norte-shopping/ajfans,ig,paid,341.0,334.0,0.5425219941348973,68.55251578299121,6.0,0.0
20251019,/pt-br/norte-shopping/ajfans,ig,paid,340.0,338.0,0.5558823529411765,54.618029620588246,4.0,0.0
20250816,/pt-br,(not set),(not set),338.0,331.0,0.9053254437869822,14.12155431656805,1.0,0.0
20250523,/pt-br/nossos-shoppings,(direct),(none),336.0,326.0,0.6130952380952381,48.00035670535714,1.0,0.0
20250906,/pt-br,hs-wif-89t-nyk-kwg.wifeed.com.br,referral,334.0,330.0,0.9520958083832335,1.4706935508982035,9.0,0.0
20250830,/pt-br/nossos-shoppings,(direct),(none),333.0,322.0,0.5825825825825826,67.2055064024024,2.0,0.0
20250531,/pt-br/nossos-shoppings,(direct),(none),328.0,316.0,0.6128048780487805,75.14262900304878,1.0,0.0
20250722,/pt-br/continente-shopping/ajfans,google,cpc,323.0,317.0,0.7430340557275542,50.826195278637776,1.0,0.0
20260205,/pt-br/nossos-shoppings,(direct),(none),319.0,317.0,0.6112852664576802,46.24632324451411,0.0,0.0
20250502,/pt-br/norte-shopping/ajfans,tiktok,paid,316.0,313.0,0.7974683544303798,24.002000977848102,0.0,0.0
20250722,/pt-br/garten-shopping/ajfans,google,cpc,316.0,304.0,0.6360759493670886,90.39777591772152,0.0,0.0
20251108,/pt-br,hs-wif-5bc-87h-xnx.wifeed.com.br,referral,315.0,310.0,0.8158730158730159,23.480058006349207,48.0,0.0
20250522,/pt-br/nossos-shoppings,(direct),(none),314.0,309.0,0.5955414012738853,66.19205826751592,1.0,0.0
20250721,/pt-br/nacoes-shopping/ajfans,google,cpc,309.0,305.0,0.7055016181229773,51.11582918122977,0.0,0.0
20250817,/pt-br/nacoes-shopping/ajfans,google,cpc,308.0,305.0,0.672077922077922,57.902886357142854,1.0,0.0
20250726,/pt-br/continente-shopping/ajfans,google,cpc,305.0,297.0,0.6557377049180327,55.02372486229508,1.0,0.0
20251108,/pt-br,hs-wif-89t-nyk-kwg.wifeed.com.br,referral,297.0,295.0,0.8956228956228957,7.209325131313131,25.0,0.0
20250720,/pt-br/continente-shopping/ajfans,google,cpc,294.0,287.0,0.7244897959183674,53.27345307142857,1.0,0.0
20250830,/pt-br,hs-wif-5bc-87h-xnx.wifeed.com.br,referral,294.0,288.0,0.9183673469387755,3.235851738095238,15.0,0.0
20250901,/pt-br/continente-shopping/ajfans,google,cpc,288.0,286.0,0.8923611111111112,25.044314385416666,0.0,0.0
20250828,/pt-br/nossos-shoppings,(direct),(none),286.0,282.0,0.6398601398601399,45.29176054195804,1.0,0.0
20250823,/pt-br/nacoes-shopping/ajfans,google,cpc,285.0,279.0,0.7578947368421053,43.76540462456141,0.0,0.0
