shopping,shopping_sigla,campanha,audiencia,data,impressoes,cliques,custo,conversoes,valor_conversoes
GERAL,GERAL,[SEARCH - NATAL 25 - BS],2453073048666,2025-12-13,131,14,2.75,7.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - CS],2453073048666,2025-12-13,60,6,4.42,3.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - NR],2453073048666,2025-12-13,104,14,6.93,7.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - NS],2453073048666,2025-12-13,54,6,3.741261,3.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - NK],2453073048666,2025-12-13,123,19,10.569418,8.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - GS],2453073048666,2025-12-13,33,6,6.39,8.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],51668100655,2025-12-13,107,6,5.66,2.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],51668101495,2025-12-13,58,2,1.945225,1.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],51668103415,2025-12-13,29,0,0.0,0.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],298229924760,2025-12-13,182,9,7.701309,4.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],345904698375,2025-12-13,196,11,9.42617,10.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],373127245340,2025-12-13,32,2,3.72,4.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],1964009779173,2025-12-13,31,0,0.0,0.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],2306825954293,2025-12-13,12,1,0.68,2.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],2307998249255,2025-12-13,3,0,0.0,0.0,0.0
GERAL,GERAL,[SEARCH - NARBONA - JANTAR -CS],2447226908048,2025-12-13,21,2,1.422328,2.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - BS],2453073048666,2025-12-14,193,17,3.37,5.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - CS],2453073048666,2025-12-14,123,12,6.200709,8.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - NR],2453073048666,2025-12-14,142,14,5.981918,5.0,0.0
GERAL,GERAL,[SEARCH - NATAL 25 - NS],2453073048666,2025-12-14,86,18,9.446679,8.0,0.0
