shopping,shopping_sigla,campanha_id,campanha,status,tipo_canal,estrategia_lance,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,cpa,impression_share,view_through_conv,todas_conversoes,valor_todas_conversoes,interacoes,taxa_interacao
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,1181,317,0.26841659610499574,0.11421325867507887,36.205603,0.0,0.0,0.0,0.13286713286713286,0,2.0,0.0,317,0.26841659610499574
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,3465,1133,0.326984126984127,0.03582293203883495,40.587382,0.0,0.0,0.0,0.48894642501493724,0,0.0,0.0,1133,0.326984126984127
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,986,546,0.5537525354969574,0.05742652380952381,31.354882,0.0,0.0,0.0,0.11300846869359989,0,1.0,0.0,546,0.5537525354969574
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,1562,693,0.44366197183098594,0.05060917171717172,35.072156,0.0,0.0,0.0,0.10637034523708541,0,2.0,0.0,693,0.44366197183098594
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,694,101,0.14553314121037464,0.3942112277227723,39.815334,0.0,0.0,0.0,0.0999,0,1.0,0.0,101,0.14553314121037464
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,7512,2735,0.36408413205537804,0.013893285557586838,37.998136,0.0,0.0,0.0,0.5800883733775201,0,4.5,0.0,2735,0.36408413205537804
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-10,20995,696,0.03315075017861396,0.0519246566091954,36.139561,0.0,0.0,0.0,0.4886587771203156,0,4.0,0.0,696,0.03315075017861396
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-10,488,41,0.08401639344262295,0.5505356585365854,22.571962,0.0,0.0,0.0,0.5095785440613027,0,0.0,0.0,41,0.08401639344262295
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-10,4711,112,0.0237741456166419,0.43483078571428574,48.701048,0.0,0.0,0.0,0.21028466483011937,0,0.0,0.0,112,0.0237741456166419
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-10,2085,78,0.03741007194244604,0.1552431794871795,12.108968,0.0,0.0,0.0,0.2272159800249688,0,0.0,0.0,78,0.03741007194244604
GERAL,GERAL,24187241257,[INSCRIÇÕES BS NIGHT RUN],PAUSED,VIDEO,TARGET_CPM,2026-09-10,1260,3,0.002380952380952381,4.701032333333333,14.103097,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0.002380952380952381
GERAL,GERAL,24198488801,[DEMAND GEN - NIGHT RUN BS],PAUSED,DEMAND_GEN,MAXIMIZE_CONVERSIONS,2026-09-10,6906,268,0.03880683463654793,0.06854934328358209,18.371224,159.987211,159.987211,0.1148293284517598,0.0,0,159.987211,159.987211,268,0.03880683463654793
GERAL,GERAL,24214909873,[PMAX - 26FIT - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-10,2327,114,0.048990116029222174,0.19692951754385965,22.449965,0.0,0.0,0.0,0.330150068212824,0,0.0,0.0,114,0.048990116029222174
GERAL,GERAL,24235134631,[PMAX - JAMAL ESFIHA],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-10,2661,123,0.046223224351747465,0.3248253983739837,39.953524,0.0,0.0,0.0,0.1579290133507001,0,2.0,0.0,123,0.046223224351747465
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,984,229,0.23272357723577236,0.15881228384279478,36.368013,34.0,0.0,1.0696474411764707,0.10196813495782568,0,35.0,0.0,229,0.23272357723577236
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,2629,863,0.3282616964625333,0.0439380764774044,37.91856,44.0,0.0,0.8617854545454546,0.4773882793684774,0,46.99292,0.0,863,0.3282616964625333
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,796,386,0.4849246231155779,0.07789412953367876,30.067134,21.0,0.0,1.4317682857142857,0.13981547196593327,0,22.0,0.0,386,0.4849246231155779
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,1191,503,0.42233417296389586,0.05770468389662028,29.025456,23.0,0.0,1.2619763478260868,0.0999,0,23.0,0.0,503,0.42233417296389586
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,793,95,0.11979823455233292,0.4186620315789474,39.772893,19.0,0.0,2.093310157894737,0.125,0,20.0,0.0,95,0.11979823455233292
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,4959,1786,0.36015325670498083,0.0168988516237402,30.181349,19.0,0.0,1.5884920526315789,0.5972703639514731,0,21.991503,0.0,1786,0.36015325670498083
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-09,24349,541,0.02221857160458335,0.05176247874306839,28.003501,21.0,0.0,1.3335000476190475,0.4369612068965517,0,22.0,0.0,541,0.02221857160458335
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-09,657,36,0.0547945205479452,0.7713227777777778,27.76762,15.0,0.0,1.8511746666666666,0.4778761061946903,0,15.0,0.0,36,0.0547945205479452
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-09,5160,106,0.02054263565891473,0.352774679245283,37.394116,30.0,0.0,1.2464705333333335,0.16775126536514823,0,31.0,0.0,106,0.02054263565891473
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-09,735,28,0.0380952380952381,0.19707407142857142,5.518074,2.0,0.0,2.759037,0.19597989949748743,0,2.0,0.0,28,0.0380952380952381
