shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2025-12-10,320585,1629,0.005081335683204143,1.106268305709024,1802.11107,6299.237237,5.0,0.002774523770058191,0.28608401338099976,0.27936647602287723
GERAL,GERAL,2025-12-11,317505,1717,0.005407788853718839,1.0721255608619684,1840.839588,7212.481813,10.0,0.005432303860253574,0.25522970258060323,0.3200561009817672
GERAL,GERAL,2025-12-12,280021,1950,0.006963763432028312,0.9477174630769231,1848.049053,7536.020682,12.0,0.006493334135541477,0.2452287660799708,0.23716573716573716
GERAL,GERAL,2025-12-13,276686,2287,0.008265687457984864,0.7725122286838653,1766.735467,7791.753443,5.0,0.0028300784658442588,0.226744272637016,0.23665349320115212
GERAL,GERAL,2025-12-14,303606,2774,0.009136841827895365,0.657336118961788,1823.450394,7537.69335,6.0,0.0032904651641430943,0.24191092809579473,0.2663493742288031
GERAL,GERAL,2025-12-15,275162,1891,0.006872315217944338,0.791984189846642,1497.642103,6250.410014,9.0,0.006009446437150546,0.23960701772291765,0.2528520665793903
GERAL,GERAL,2025-12-16,218888,2047,0.009351814626658383,0.6618254489496824,1354.756694,6445.469745,12.0,0.008857679060119117,0.21018742583516695,0.21626399528579845
GERAL,GERAL,2025-12-17,198815,1638,0.008238814978749088,0.6949361178266178,1138.305361,5850.358334,9.0,0.007906490040680746,0.19457019485193128,0.17992961743671246
GERAL,GERAL,2025-12-18,130210,1435,0.011020658935565624,0.636864043205575,913.899902,4784.041667,10.0,0.010942117378627315,0.19103092439683803,0.184622067767159
GERAL,GERAL,2025-12-19,126111,1611,0.01277446059423841,0.5606130577281192,903.147636,5408.837662,10.0,0.01107238684063831,0.1669762881487642,0.21738671173550228
GERAL,GERAL,2025-12-20,139804,2139,0.015299991416554606,0.44102799485741,943.358881,6248.678242,12.0,0.012720503555634624,0.15096934815098773,0.2305550868905011
GERAL,GERAL,2025-12-21,126134,2394,0.01897981511725625,0.3519260864661654,842.511051,5406.592812,22.0,0.026112417129588488,0.15583031315582638,0.2492865296803653
GERAL,GERAL,2025-12-22,143444,2143,0.01493962800814255,0.3766922729818012,807.251541,6289.949578,5.0,0.006193856246847351,0.12833990654288835,0.24107561135575753
GERAL,GERAL,2025-12-23,145409,2316,0.015927487294459076,0.3605654434369603,835.069567,5568.548153,9.0,0.010777545195824386,0.14996181123981384,0.2394556740410632
GERAL,GERAL,2025-12-24,152515,2212,0.014503491459856407,0.3458911125678119,765.111141,4086.246491,12.0,0.015683995901975764,0.18724057461662313,0.2455286781333516
GERAL,GERAL,2025-12-25,145832,2550,0.01748587415656372,0.3055788466666667,779.226059,3368.977577,12.0,0.015399895654670348,0.23129452220750116,0.26886604962807337
