shopping,shopping_sigla,campanha,dispositivo,data,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,[ALC - Star Beatles - NK],OTHER,2025-09-16,1,0,0.0,0.004709,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-24,77,3,0.03896103896103896,1.474371,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-09-24,62,4,0.06451612903225806,2.029778,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-24,41,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-25,92,2,0.021739130434782608,1.431942,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-09-25,60,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-09-25,86,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-09-25,52,1,0.019230769230769232,0.625278,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-09-25,67,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-25,131,5,0.03816793893129771,4.245368,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-26,41,2,0.04878048780487805,1.222093,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-09-26,84,1,0.011904761904761904,0.763333,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-09-26,60,2,0.03333333333333333,0.829222,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-09-26,94,3,0.031914893617021274,2.450751,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-09-26,84,2,0.023809523809523808,0.738303,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-26,49,2,0.04081632653061224,2.371405,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-27,47,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-09-27,50,3,0.06,1.749032,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-09-27,56,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-09-27,81,1,0.012345679012345678,0.459842,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-09-27,64,1,0.015625,0.757101,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-27,36,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-28,12,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-09-28,6,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-09-28,9,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-09-28,25,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-09-28,35,1,0.02857142857142857,0.718219,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-28,19,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-29,1,2,2.0,0.553774,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-09-29,4,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-09-29,2,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-29,3,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-09-30,7,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-09-30,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-09-30,6,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-09-30,8,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-09-30,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-09-30,2,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-01,56,1,0.017857142857142856,0.785784,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-01,48,1,0.020833333333333332,0.519127,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-01,52,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-01,42,2,0.047619047619047616,0.886197,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-10-01,11,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-01,20,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-02,43,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-02,18,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-02,48,1,0.020833333333333332,0.748392,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-02,40,1,0.025,1.197892,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-10-02,12,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-02,22,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-03,64,1,0.015625,0.578604,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-03,2,1,0.5,0.527757,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-03,87,1,0.011494252873563218,0.40365,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-03,57,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-10-03,9,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-04,14,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-04,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-04,37,2,0.05405405405405406,1.394568,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-04,48,2,0.041666666666666664,2.23554,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-10-04,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-04,39,1,0.02564102564102564,0.382047,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-05,28,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-05,11,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-05,52,2,0.038461538461538464,1.365893,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-05,18,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-06,32,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-06,4,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-06,21,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-06,28,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-06,19,1,0.05263157894736842,0.46258,1.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-07,17,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-07,2,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-07,27,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-07,6,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NK],OTHER,2025-10-07,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-07,27,1,0.037037037037037035,1.032711,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-08,5,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-08,37,2,0.05405405405405406,0.915826,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-08,6,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NR],OTHER,2025-10-08,27,1,0.037037037037037035,0.561118,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - CS],OTHER,2025-10-09,47,4,0.0851063829787234,2.406476,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - BS],OTHER,2025-10-09,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - GS],OTHER,2025-10-09,52,4,0.07692307692307693,2.017742,0.0,0.0
GERAL,GERAL,[DEMAND GEN - GIFTCARD - NS],OTHER,2025-10-09,20,0,0.0,0.0,0.0,0.0
