shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,0,SUNDAY,647,128,0.19783616692426584,13.46338,103.833336,0.0
GERAL,GERAL,1,SUNDAY,399,72,0.18045112781954886,8.086866,62.5,0.0
GERAL,GERAL,2,SUNDAY,202,37,0.18316831683168316,3.181037,31.5,0.0
GERAL,GERAL,3,SUNDAY,118,19,0.16101694915254236,1.865577,10.0,0.0
GERAL,GERAL,4,SUNDAY,121,20,0.1652892561983471,1.775137,22.83631,0.0
GERAL,GERAL,5,SUNDAY,131,20,0.15267175572519084,2.469293,16.916666,0.0
GERAL,GERAL,6,SUNDAY,274,44,0.16058394160583941,4.096297,32.666666,0.0
GERAL,GERAL,7,SUNDAY,853,154,0.18053927315357562,16.203444,125.166667,1.0
GERAL,GERAL,8,SUNDAY,1990,367,0.1844221105527638,43.427187,321.309969,2.0
GERAL,GERAL,9,SUNDAY,3519,591,0.1679454390451833,73.608323,489.658333,3.0
GERAL,GERAL,10,SUNDAY,4893,971,0.19844676067852032,115.074068,871.488821,8.0
GERAL,GERAL,11,SUNDAY,5843,1159,0.19835700838610304,129.559201,986.970238,4.0
GERAL,GERAL,12,SUNDAY,6422,1311,0.20414201183431951,138.873281,1085.854066,4.0
GERAL,GERAL,13,SUNDAY,6396,1271,0.1987179487179487,140.320633,1094.373174,3.0
GERAL,GERAL,14,SUNDAY,5693,1212,0.21289302652380115,127.155173,1152.471544,3.0
GERAL,GERAL,15,SUNDAY,5039,993,0.19706290930740225,103.020382,862.39251,2.0
GERAL,GERAL,16,SUNDAY,4399,868,0.19731757217549442,89.928337,841.19396,4.0
GERAL,GERAL,17,SUNDAY,4388,844,0.19234275296262535,86.37683,918.401089,1.0
GERAL,GERAL,18,SUNDAY,3766,731,0.194105151354222,75.609035,700.774241,3.0
GERAL,GERAL,19,SUNDAY,2747,543,0.19767018565708044,59.411308,551.272221,0.0
GERAL,GERAL,20,SUNDAY,1817,341,0.18767198679141442,34.425608,275.758194,1.0
GERAL,GERAL,21,SUNDAY,1142,217,0.19001751313485113,20.482285,123.080355,0.0
GERAL,GERAL,22,SUNDAY,701,147,0.20970042796005706,12.478401,91.416666,0.0
GERAL,GERAL,23,SUNDAY,413,88,0.21307506053268765,5.035914,97.333334,1.0
GERAL,GERAL,0,MONDAY,442,87,0.19683257918552036,8.302208,59.833653,0.0
GERAL,GERAL,1,MONDAY,216,47,0.2175925925925926,4.632571,37.0,0.0
GERAL,GERAL,2,MONDAY,128,20,0.15625,1.376038,13.0,0.0
GERAL,GERAL,3,MONDAY,72,13,0.18055555555555555,1.80842,9.5,0.0
GERAL,GERAL,4,MONDAY,77,14,0.18181818181818182,1.015939,9.5,0.0
GERAL,GERAL,5,MONDAY,103,15,0.14563106796116504,1.484133,21.0,0.0
GERAL,GERAL,6,MONDAY,270,40,0.14814814814814814,4.139273,47.0,0.0
GERAL,GERAL,7,MONDAY,682,141,0.20674486803519063,17.172093,115.127084,0.0
GERAL,GERAL,8,MONDAY,1549,263,0.1697869593285991,29.148333,230.916667,0.0
GERAL,GERAL,9,MONDAY,2363,420,0.17774016081252644,47.423843,385.303409,3.0
GERAL,GERAL,10,MONDAY,3309,578,0.17467512843759445,63.953386,563.711984,2.0
GERAL,GERAL,11,MONDAY,3827,738,0.1928403449176901,74.48442,740.104166,2.0
GERAL,GERAL,12,MONDAY,4231,846,0.19995272985109902,93.582315,807.581168,3.0
GERAL,GERAL,13,MONDAY,3992,854,0.21392785571142284,82.306156,767.762911,1.0
GERAL,GERAL,14,MONDAY,3820,771,0.2018324607329843,76.743567,746.222455,2.0
GERAL,GERAL,15,MONDAY,3618,695,0.19209508015478166,72.174504,692.167263,5.0
GERAL,GERAL,16,MONDAY,3614,680,0.18815716657443277,77.197888,698.784138,3.0
GERAL,GERAL,17,MONDAY,3758,775,0.20622671633847792,86.696436,739.035679,1.0
GERAL,GERAL,18,MONDAY,3464,693,0.20005773672055427,67.700546,698.644668,0.0
GERAL,GERAL,19,MONDAY,2980,581,0.19496644295302012,53.461798,577.474075,1.0
GERAL,GERAL,20,MONDAY,2351,520,0.22118247554232243,47.352805,459.916826,1.0
GERAL,GERAL,21,MONDAY,1463,282,0.19275461380724537,28.244065,202.266069,1.0
