shopping,shopping_sigla,grupo_anuncio,keyword,match_type,quality_score,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,8.0,2025-12-11,898,123,0.13697104677060135,0.7287557317073171,89.636955,156.959685,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-07,4112,1635,0.3976167315175097,0.052892878287461774,86.479856,489.94576,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-08,4580,1756,0.3834061135371179,0.041546226082004555,72.955173,523.062701,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-08,5721,1321,0.23090368816640447,0.0518574700984103,68.503718,513.546587,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-04,1554,220,0.14157014157014158,0.29892106363636367,65.762634,97.761257,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-03,1449,201,0.13871635610766045,0.3264420646766169,65.614855,105.585283,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-04,1395,308,0.22078853046594982,0.2039525422077922,62.817383,106.283333,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping balneário camboriú,BROAD,8.0,2025-12-09,1433,256,0.17864619678995114,0.2325820078125,59.540994,348.106664,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-18,1096,145,0.1322992700729927,0.39196575862068966,56.835035,36.59091,0.0
GERAL,GERAL,Grupo de anúncios 1,loja nova no garten shopping,BROAD,,2026-01-17,321,59,0.1838006230529595,0.9611555762711864,56.708179,24.101852,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-04,2021,424,0.20979713013359724,0.1298669033018868,55.063567,168.095239,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-03,2022,446,0.2205736894164194,0.12094463901345293,53.941309,174.952381,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-08,1646,401,0.24362089914945323,0.13410631670822942,53.776633,185.142205,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-17,1062,139,0.13088512241054615,0.37089838848920864,51.554876,30.733333,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-07,1508,340,0.22546419098143236,0.15047967647058821,51.16309,171.708468,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-07,4484,948,0.21141837644959857,0.053812209915611815,51.013975,390.025642,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping balneário camboriú,BROAD,8.0,2025-12-08,1211,197,0.16267547481420314,0.24190278680203045,47.654849,261.029763,0.0
