campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,shopping
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-11,32145,32078,1.002089,34,0.105771,1.26,1.332711,42.84,22.0,0,1.947273,6.0,0,7.14,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1864.0,0,0.022983,4.0,0,0,1864.0,0,0.022983,0,0,0,0.0,0,0,0.0,0,0,256.0,88.0,46.0,35.0,UNKNOWN,UNKNOWN,UNKNOWN,22.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-11,51712,49692,1.04065,153,0.295869,0.410261,1.213838,62.77,35.0,0,1.793429,3.0,0,20.923333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3832.0,0,0.01638,23.0,0,0,3832.0,0,0.01638,0,0,0,0.0,0,0,0.0,0,0,520.0,147.0,70.0,36.0,UNKNOWN,UNKNOWN,UNKNOWN,35.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-11,28129,28129,1.0,47,0.167087,0.74383,1.242845,34.96,35.0,0,0.998857,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,39.0,0,0.89641,2.0,0,0,39.0,0,0.89641,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,35.0,CS
[ALC] Semana do Cinema 2026,120239561692810087,OUTCOME_AWARENESS,2026-02-11,48289,44035,1.096605,85,0.176024,0.764588,1.345855,64.99,49.0,0,1.326327,8.0,0,8.12375,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,65.0,0,0.999846,16.0,0,0,65.0,0,0.999846,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,49.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-11,111355,107764,1.033323,155,0.139194,0.90729,1.262898,140.63,103.0,0,1.36534,12.0,0,11.719167,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2192.0,0,0.064156,9.0,0,0,2192.0,0,0.064156,0,0,0,0.0,0,0,0.0,0,0,249.0,60.0,30.0,15.0,UNKNOWN,UNKNOWN,UNKNOWN,103.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-12,32445,32445,1.0,39,0.120203,1.116667,1.342272,43.55,16.0,0,2.721875,4.0,0,10.8875,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1782.0,0,0.024439,9.0,0,0,1782.0,0,0.024439,0,0,0,0.0,0,0,0.0,0,0,279.0,88.0,57.0,37.0,UNKNOWN,UNKNOWN,UNKNOWN,16.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-12,51819,51184,1.012406,167,0.322276,0.380419,1.225998,63.53,36.0,0,1.764722,4.0,0,15.8825,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3509.0,0,0.018105,26.0,0,0,3510.0,0,0.0181,0,0,0,0.0,0,0,0.0,0,0,492.0,155.0,86.0,45.0,UNKNOWN,UNKNOWN,UNKNOWN,36.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-12,29152,27557,1.05788,35,0.12006,1.028,1.234221,35.98,27.0,0,1.332593,5.0,0,7.196,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,31.0,0,1.160645,3.0,0,0,31.0,0,1.160645,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,27.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-12,116540,114637,1.0166,224,0.192209,0.631518,1.213832,141.46,167.0,0,0.847066,21.0,0,6.73619,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1914.0,0,0.073908,20.0,0,0,1914.0,0,0.073908,0,0,0,0.0,0,0,0.0,0,0,207.0,45.0,32.0,23.0,UNKNOWN,UNKNOWN,UNKNOWN,163.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-12,6954,6751,1.03007,38,0.546448,0.646842,3.534656,24.58,25.0,0,0.9832,6.0,0,4.096667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3411.0,0,0.007206,63.0,0,0,3411.0,0,0.007206,0,0,0,0.0,0,0,0.0,0,0,1124.0,473.0,279.0,133.0,UNKNOWN,UNKNOWN,UNKNOWN,25.0,CS
