campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,device_platform,shopping,video_p50,video_p75,video_p100
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-16,119,106,1.122642,0,0.0,0.0,1.344208,0.159961,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,16.0,0,0.009998,0.0,0,0,16.0,0,0.009998,0,0,0,0.0,0,0,0.0,0,0,2.0,,,,0.0,desktop,CS,,,
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-16,80541,56081,1.436155,109,0.135335,1.120276,1.516123,122.110056,53.0,0,2.303963,11.0,0,11.100914,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5101.0,0,0.023938,17.0,0,0,5101.0,0,0.023938,0,0,0,0.0,0,0,0.0,0,0,628.0,,,,53.0,mobile_app,CS,154.0,85.0,55.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-16,47,43,1.093023,0,0.0,0.0,1.488997,0.069983,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.034991,0.0,0,0,2.0,0,0.034991,0,0,0,0.0,0,0,0.0,0,0,,,,,0.0,mobile_web,CS,,,
ALC Cotton On - Novidade!,120232087508760087,OUTCOME_AWARENESS,2025-10-16,290,254,1.141732,0,0.0,0.0,1.310134,0.379939,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,25.0,0,0.015198,0.0,0,0,25.0,0,0.015198,0,0,0,0.0,0,0,0.0,0,0,5.0,,,,0.0,desktop,CS,3.0,3.0,2.0
ALC Cotton On - Novidade!,120232087508760087,OUTCOME_AWARENESS,2025-10-16,128078,91248,1.403625,182,0.142101,1.018737,1.447634,185.410126,80.0,0,2.317627,11.0,0,16.855466,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,6003.0,0,0.030886,26.0,0,0,6003.0,0,0.030886,0,0,0,0.0,0,0,0.0,0,0,1093.0,,,,80.0,mobile_app,CS,284.0,132.0,68.0
ALC Cotton On - Novidade!,120232087508760087,OUTCOME_AWARENESS,2025-10-16,275,209,1.315789,0,0.0,0.0,1.454311,0.399936,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,13.0,0,0.030764,0.0,0,0,13.0,0,0.030764,0,0,0,0.0,0,0,0.0,0,0,4.0,,,,0.0,mobile_web,CS,2.0,2.0,2.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-10-16,457,386,1.183938,0,0.0,0.0,1.531336,0.69982,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,0.233273,0.0,0,0,3.0,0,0.233273,0,0,0,0.0,0,0,0.0,0,0,,,,,0.0,desktop,CS,,,
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-10-16,265700,177311,1.498497,365,0.137373,1.063809,1.461386,388.290357,272.0,0,1.427538,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2723.0,0,0.142597,18.0,0,0,2723.0,0,0.142597,0,0,0,0.0,0,0,0.0,0,0,1244.0,,,,272.0,mobile_app,CS,514.0,242.0,94.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-10-16,407,342,1.190058,1,0.2457,0.689823,1.694897,0.689823,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,0.229941,0.0,0,0,3.0,0,0.229941,0,0,0,0.0,0,0,0.0,0,0,2.0,,,,0.0,mobile_web,CS,2.0,,
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-10-16,304,268,1.134328,0,0.0,0.0,1.217056,0.369985,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,19.0,0,0.019473,0.0,0,0,19.0,0,0.019473,0,0,0,0.0,0,0,0.0,0,0,11.0,,,,0.0,desktop,CS,4.0,3.0,1.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-10-16,166648,115800,1.439102,163,0.097811,1.504417,1.471485,245.220028,99.0,0,2.47697,8.0,0,30.652504,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,6028.0,0,0.04068,28.0,0,0,6028.0,0,0.04068,0,0,0,0.0,0,0,0.0,0,0,3247.0,,,,99.0,mobile_app,CS,1290.0,634.0,450.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-10-16,258,193,1.336788,0,0.0,0.0,1.279018,0.329987,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,0.047141,0.0,0,0,7.0,0,0.047141,0,0,0,0.0,0,0,0.0,0,0,3.0,,,,0.0,mobile_web,CS,1.0,1.0,1.0
ALC Tio Nick no WOW PARK,120233107668550087,OUTCOME_AWARENESS,2025-10-16,48,45,1.066667,0,0.0,0.0,2.083333,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,0.0,desktop,CS,,,
ALC Tio Nick no WOW PARK,120233107668550087,OUTCOME_AWARENESS,2025-10-16,34407,31947,1.077003,52,0.151132,0.964808,1.458134,50.17,38.0,0,1.320263,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,50.0,0,1.0034,7.0,0,0,50.0,0,1.0034,0,0,0,0.0,0,0,0.0,0,0,1.0,,,,38.0,mobile_app,CS,,,
ALC Tio Nick no WOW PARK,120233107668550087,OUTCOME_AWARENESS,2025-10-16,27,26,1.038462,0,0.0,0.0,1.481481,0.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,0.0,mobile_web,CS,,,
