campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,publisher_platform,platform_position,shopping
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,11056,7320,1.510383,25,0.226122,0.601096,1.359207,15.027391,3.0,0,5.00913,1.0,0,15.027391,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,959.0,0,0.01567,16.0,0,0,959.0,0,0.01567,0,0,0,0.0,0,0,0.0,0,0,87.0,31.0,16.0,8.0,,,,3.0,facebook,facebook_reels,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,50,49,1.020408,0,0.0,0.0,1.199792,0.05999,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5.0,0,0.011998,0.0,0,0,5.0,0,0.011998,0,0,0,0.0,0,0,0.0,0,0,1.0,,,,,,,0.0,facebook,facebook_reels_overlay,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,497,418,1.188995,1,0.201207,1.199792,2.414068,1.199792,1.0,0,1.199792,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,13.0,0,0.092292,0.0,0,0,13.0,0,0.092292,0,0,0,0.0,0,0,0.0,0,0,2.0,,,,,,,1.0,facebook,facebook_stories,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,14703,10975,1.339681,31,0.210841,0.769866,1.623196,23.865856,3.0,0,7.955285,2.0,0,11.932928,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1604.0,0,0.014879,4.0,0,0,1604.0,0,0.014879,0,0,0,0.0,0,0,0.0,0,0,166.0,57.0,33.0,26.0,,,,3.0,facebook,feed,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,3,3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,facebook,instream_video,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,12333,6704,1.839648,10,0.081083,1.741698,1.412225,17.416976,7.0,0,2.488139,2.0,0,8.708488,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1565.0,0,0.011129,0.0,0,0,1565.0,0,0.011129,0,0,0,0.0,0,0,0.0,0,0,159.0,58.0,29.0,20.0,,,,7.0,facebook,marketplace,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,1234,1083,1.139428,0,0.0,0.0,1.409804,1.739698,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,371.0,0,0.004689,0.0,0,0,371.0,0,0.004689,0,0,0,0.0,0,0,0.0,0,0,35.0,4.0,3.0,2.0,,,,0.0,facebook,search,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,17138,14000,1.224143,20,0.1167,1.183295,1.380902,23.665891,10.0,0,2.366589,5.0,0,4.733178,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1604.0,0,0.014754,3.0,0,0,1604.0,0,0.014754,0,0,0,0.0,0,0,0.0,0,0,189.0,59.0,36.0,24.0,,,,10.0,instagram,feed,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,303,285,1.063158,0,0.0,0.0,1.517888,0.45992,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,0.045992,0.0,0,0,10.0,0,0.045992,0,0,0,0.0,0,0,0.0,0,0,1.0,1.0,,,,,,0.0,instagram,instagram_explore,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-11,19228,15298,1.256896,21,0.109216,1.329769,1.452317,27.925151,6.0,0,4.654192,1.0,0,27.925151,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,749.0,0,0.037283,1.0,0,0,749.0,0,0.037283,0,0,0,0.0,0,0,0.0,0,0,92.0,31.0,15.0,11.0,,,,6.0,instagram,instagram_reels,CS
