campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,shopping
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-24,54405,44020,1.235915,106,0.194835,0.748208,1.45777,79.31,23.0,0,3.448261,5.0,0,15.862,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4443.0,0,0.017851,26.0,0,0,4444.0,0,0.017847,0,0,0,0.0,0,0,0.0,0,0,1587.0,587.0,302.0,168.0,UNKNOWN,UNKNOWN,UNKNOWN,23.0,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-24,55142,39252,1.40482,39,0.070726,2.067692,1.462406,80.64,18.0,0,4.48,3.0,0,26.88,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3988.0,0,0.020221,5.0,0,0,3988.0,0,0.020221,0,0,0,0.0,0,0,0.0,0,0,481.0,134.0,74.0,48.0,UNKNOWN,UNKNOWN,UNKNOWN,18.0,CS
ALC Restaurantes & PET,120231653162250087,OUTCOME_AWARENESS,2025-09-24,58453,41325,1.414471,54,0.092382,1.658704,1.532342,89.57,35.0,0,2.559143,2.0,0,44.785,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3226.0,0,0.027765,8.0,0,0,3226.0,0,0.027765,0,0,0,0.0,0,0,0.0,0,0,351.0,109.0,68.0,47.0,UNKNOWN,UNKNOWN,UNKNOWN,35.0,CS
ALC Expo Arábia,120232039727720087,OUTCOME_AWARENESS,2025-09-24,125750,91511,1.374152,350,0.27833,0.522171,1.45336,182.76,60.0,0,3.046,18.0,0,10.153333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9237.0,0,0.019786,55.0,0,0,9237.0,0,0.019786,0,0,0,0.0,0,0,0.0,0,0,1561.0,482.0,289.0,201.0,UNKNOWN,UNKNOWN,UNKNOWN,60.0,CS
ALC Cotton On - Novidade!,120232087508760087,OUTCOME_AWARENESS,2025-09-24,83052,63391,1.310154,105,0.126427,1.169143,1.47811,122.76,51.0,0,2.407059,9.0,0,13.64,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3860.0,0,0.031803,10.0,0,0,3860.0,0,0.031803,0,0,0,0.0,0,0,0.0,0,0,719.0,187.0,87.0,55.0,UNKNOWN,UNKNOWN,UNKNOWN,51.0,CS
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-09-24,172215,124079,1.387946,281,0.163168,0.89879,1.466539,252.56,199.0,0,1.269146,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,220.0,0,1.148,11.0,0,0,221.0,0,1.142805,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,199.0,CS
ALC Mileninha,120232537982950087,OUTCOME_AWARENESS,2025-09-24,199468,159845,1.247884,549,0.275232,0.607432,1.671847,333.48,182.0,0,1.832308,37.0,0,9.012973,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,17384.0,0,0.019183,51.0,0,0,17385.0,0,0.019182,0,0,0,0.0,0,0,0.0,0,0,6268.0,2555.0,985.0,591.0,UNKNOWN,UNKNOWN,UNKNOWN,182.0,CS
ALC Encontro de Labubus,120232762646630087,OUTCOME_AWARENESS,2025-09-24,192731,157131,1.226563,536,0.278108,0.566978,1.576809,303.9,188.0,0,1.616489,17.0,0,17.876471,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,8143.0,0,0.03732,30.0,0,0,8143.0,0,0.03732,0,0,0,0.0,0,0,0.0,0,0,2706.0,1008.0,453.0,284.0,UNKNOWN,UNKNOWN,UNKNOWN,188.0,CS
ALC Encontro de Beagles,120232764161050087,OUTCOME_AWARENESS,2025-09-24,148460,118577,1.252013,350,0.235754,0.655514,1.545399,229.43,223.0,0,1.028834,1.0,0,229.43,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,277.0,0,0.828267,19.0,0,0,277.0,0,0.828267,0,0,0,0.0,0,0,0.0,0,0,1.0,,,,UNKNOWN,UNKNOWN,UNKNOWN,223.0,CS
ALC Bacio di Latte em dobro,120232832665160087,OUTCOME_AWARENESS,2025-09-24,11684,10436,1.119586,13,0.111263,1.332308,1.482369,17.32,6.0,0,2.886667,2.0,0,8.66,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,749.0,0,0.023124,2.0,0,0,749.0,0,0.023124,0,0,0,0.0,0,0,0.0,0,0,543.0,180.0,108.0,71.0,UNKNOWN,UNKNOWN,UNKNOWN,6.0,CS
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-09-24,74566,55475,1.344137,81,0.108629,1.349877,1.466352,109.34,46.0,0,2.376957,6.0,0,18.223333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3188.0,0,0.034297,12.0,0,0,3188.0,0,0.034297,0,0,0,0.0,0,0,0.0,0,0,2290.0,793.0,432.0,295.0,UNKNOWN,UNKNOWN,UNKNOWN,46.0,CS
ALC Tio Nick no WOW PARK,120233107668550087,OUTCOME_AWARENESS,2025-09-24,15187,14519,1.046009,22,0.144861,0.975455,1.413051,21.46,17.0,0,1.262353,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,19.0,0,1.129474,2.0,0,0,19.0,0,1.129474,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,17.0,CS
