shopping,plataforma,tipo_post,likes,comentarios,salvos,compartilhamentos,alcance,impressoes,engajamento,qtd_posts
AJ,Facebook,Album,1,0,0,0,0,0,1,2
AJ,Facebook,Imagem,1,0,0,0,0,0,1,2
AJ,Instagram,Carrossel,77,3,1,3,1852,0,84,2
AJ,Instagram,Imagem,28,5,0,3,1296,0,36,2
BS,Facebook,Video,4,0,0,0,0,0,4,13
BS,Instagram,Carrossel,12946,775,692,7602,505581,0,22015,105
BS,Instagram,Imagem,293,39,22,68,36752,0,422,14
BS,Instagram,Reel,3642,189,88,1235,121208,0,5154,21
BS,Instagram,Story,0,5,0,0,39408,0,5,22
CS,Instagram,Carrossel,23520,452,1921,21455,551824,0,47348,59
CS,Instagram,Imagem,1099,78,145,1244,40510,0,2566,5
CS,Instagram,Reel,7366,634,385,4681,220994,0,13066,34
CS,Instagram,Story,0,13,0,0,71600,0,13,27
CS_Residences,Facebook,Album,0,0,0,0,0,0,0,3
CS_Residences,Facebook,Video,0,0,0,0,0,0,0,1
CS_Residences,Instagram,Carrossel,24,3,2,8,823,0,37,3
CS_Residences,Instagram,Reel,9,0,0,18,307,0,27,1
NK,Facebook,Album,0,0,0,0,0,0,0,2
NK,Facebook,Video,2,0,0,0,0,0,2,4
NK,Instagram,Carrossel,4005,117,113,1651,76114,0,5886,15
NK,Instagram,Imagem,45,4,0,10,2046,0,59,1
NK,Instagram,Reel,15749,763,539,5473,307852,0,22524,50
NK,Instagram,Story,0,0,0,0,3936,0,0,3
NS,Facebook,Album,21,0,0,2,0,0,23,27
NS,Facebook,Imagem,39,0,0,1,0,0,40,18
NS,Facebook,Video,66,0,0,0,0,0,66,79
NS,Instagram,Carrossel,7686,238,381,4131,312694,0,12436,26
NS,Instagram,Imagem,9867,587,412,4583,251010,0,15449,16
NS,Instagram,Reel,24588,835,630,9317,790703,0,35370,80
NS,Instagram,Story,0,1,0,0,53959,0,1,19
