shopping,plataforma,tipo_post,data,caption,likes,comentarios,salvos,compartilhamentos,alcance,impressoes,engajamento
CS,Instagram,Carrossel,2026-04-24,"Uma tarde pra viver em família no Continente Shopping 🐾💙

Neste sábado, dia 25 de abril, o Continente Shopping recebe o Musical da Aventura Canina, um espetáculo cheio de música, diversão e personagen",76,0,6,68,2937,0,150
CS,Instagram,Carrossel,2026-04-24,"📱 O iPhone 17 já tem novos donos! ✨

A sorte brilhou para quem utilizou o App AJFans! Confira quem garantiu o prêmio aqui no Continente Shopping:

🏆 Ganhador(a): Marcel Silva Fuch

Parabéns! 🎉 Agora é",43,7,0,15,2033,0,65
CS,Instagram,Carrossel,2026-04-24,"Abril é o mês de conscientização do autismo e seguimos com nosso compromisso de inclusão!

✨ O Continente Shopping e a @cinepolisbrasil realizam Sessões Inclusivas Adaptadas:
🎬 25/04 (sábado) e 27/04 ",111,5,6,51,2843,0,173
CS,Instagram,Carrossel,2026-04-23,"#tbt pra lembrar como tudo começou 🍔✨

A pré-inauguração do @bombeefburgers foi cheia de momentos especiais, ainda mais com a presença da criançada da @ongcvm deixando tudo mais leve e cheio de energi",104,4,3,10,5147,0,121
CS,Instagram,Reel,2026-04-23,"Uma tarde pra viver em família no Continente Shopping 🐾💙

Neste sábado, dia 25 de abril, o Continente Shopping recebe o Musical da Aventura Canina, um espetáculo cheio de música, diversão e personagen",107,3,12,168,3840,0,290
CS,Instagram,Carrossel,2026-04-23,"O Dia das Mães está chegando, e a oportunidade de ganhar um presente de luxo também! 💐 No Continente Shopping, você tem a chance de conquistar o incrível Jaecoo 7 Luxury, o SUV híbrido de luxo, a cada",13,0,0,7,907,0,20
CS,Instagram,Reel,2026-04-23,"ELE CHEGOU! O prêmio da nossa promoção de Mães: um Jaecoo 7 Luxury, que presentão hein? 

A cada R$ 300,00 em compras no Continente Shopping você ganha 1 número da sorte e concorre a esse super carro.",78,7,0,25,3240,0,110
CS,Instagram,Imagem,2026-04-22,"Uma tarde pra viver em família 🐾💙

Neste sábado, dia 25 de abril, o Continente Shopping recebe o Musical da Aventura Canina, um espetáculo cheio de música, diversão e personagens que encantam todas as",138,4,18,215,5160,0,375
CS,Instagram,Carrossel,2026-04-22,"O Super Games chegou no Continente Shopping com uma experiência interativa que reúne o melhor dos videogames de todas as gerações.

Dos clássicos que marcaram época às tecnologias mais avançadas da at",47,2,2,19,1753,0,70
CS,Instagram,Carrossel,2026-04-22,"O Continente Shopping recebe neste sábado (25/04), um dos maiores encontros de conversíveis do Brasil, reunindo modelos incríveis e apaixonados por carros em um só lugar.

Pra quem participa, é experi",658,7,36,526,11704,0,1227
