date,query,cliques,impressoes,ctr,posicao
2026-01-12,almeida junior,27,87,0.3103448275862069,6.0344827586206895
2026-01-08,almeida junior,18,89,0.20224719101123595,5.865168539325842
2026-01-21,almeida junior,18,80,0.225,3.8625
2026-01-28,almeida junior,18,83,0.21686746987951808,3.6867469879518073
2026-02-23,almeida junior,18,80,0.225,3.7125
2025-12-19,ajfans,17,33,0.5151515151515151,1.9090909090909092
2026-01-15,almeida junior,17,55,0.3090909090909091,7.418181818181818
2025-12-23,ajfans,16,28,0.5714285714285714,1.75
2026-01-27,almeida junior,16,88,0.18181818181818182,6.738636363636363
2026-02-27,almeida junior,16,79,0.20253164556962025,4.0
2026-03-03,almeida junior,16,90,0.17777777777777778,4.2555555555555555
2026-01-06,almeida junior,15,74,0.20270270270270271,3.4864864864864864
2026-01-07,almeida junior,15,84,0.17857142857142858,4.595238095238095
2026-01-13,almeida junior,15,78,0.19230769230769232,3.9871794871794872
2025-12-10,almeida junior,14,76,0.18421052631578946,4.657894736842105
2025-12-22,almeida junior,14,54,0.25925925925925924,4.0
2026-01-14,almeida junior,14,90,0.15555555555555556,4.988888888888889
2026-01-16,ajfans,14,20,0.7,1.7
2026-01-20,almeida junior,14,80,0.175,6.1125
2025-12-19,almeida junior,13,55,0.23636363636363636,3.6545454545454548
2025-12-23,almeida junior,13,42,0.30952380952380953,3.5952380952380953
2025-12-24,ajfans,13,29,0.4482758620689655,2.0
2025-12-26,ajfans,13,28,0.4642857142857143,1.8214285714285714
2025-12-26,almeida junior shopping,13,19,0.6842105263157895,1.0
2026-01-05,almeida junior,13,69,0.18840579710144928,3.246376811594203
2026-01-11,ajfans,13,28,0.4642857142857143,2.142857142857143
2026-01-16,almeida junior,13,66,0.19696969696969696,7.393939393939394
2026-01-29,almeida junior,13,75,0.17333333333333334,4.4
2026-02-02,almeida junior,13,88,0.14772727272727273,6.125
2026-02-03,almeida junior,13,91,0.14285714285714285,3.3956043956043955
2026-02-06,almeida junior,13,60,0.21666666666666667,3.5
2026-02-24,almeida junior,13,65,0.2,3.723076923076923
2025-12-15,almeida junior,12,67,0.1791044776119403,4.2388059701492535
2025-12-20,ajfans,12,31,0.3870967741935484,1.935483870967742
2026-01-06,ajfans,12,23,0.5217391304347826,1.7391304347826086
2026-02-01,almeida junior shopping,12,20,0.6,1.0
2026-02-09,almeida junior,12,91,0.13186813186813187,6.538461538461538
2025-12-20,almeida junior,11,45,0.24444444444444444,3.8666666666666667
2025-12-21,ajfans,11,33,0.3333333333333333,1.9090909090909092
2025-12-22,aj fans,11,17,0.6470588235294118,1.0
2025-12-27,ajfans,11,33,0.3333333333333333,1.9696969696969697
2026-01-10,aj fans,11,16,0.6875,1.1875
2026-01-22,almeida junior,11,52,0.21153846153846154,3.0961538461538463
2026-02-20,almeida junior,11,53,0.20754716981132076,4.264150943396226
2026-02-25,almeida junior,11,71,0.15492957746478872,3.436619718309859
2025-12-12,almeida junior,10,53,0.18867924528301888,3.811320754716981
2025-12-16,ajfans,10,21,0.47619047619047616,1.9047619047619047
2025-12-17,ajfans,10,25,0.4,1.92
2025-12-22,ajfans,10,41,0.24390243902439024,1.8536585365853657
2025-12-24,almeida junior shopping,10,16,0.625,1.0
2025-12-28,almeida junior,10,50,0.2,4.38
2025-12-30,ajfans,10,34,0.29411764705882354,2.0294117647058822
2026-01-10,almeida junior shopping,10,17,0.5882352941176471,1.0
2026-01-11,almeida junior,10,44,0.22727272727272727,4.0
2026-01-13,almeida junior shopping centers,10,13,0.7692307692307693,1.0
2026-01-15,ajfans,10,15,0.6666666666666666,1.4666666666666668
2026-01-16,aj fans,10,17,0.5882352941176471,1.4705882352941178
2026-02-26,almeida junior,10,80,0.125,4.8125
2026-03-05,almeida junior,10,82,0.12195121951219512,4.182926829268293
2025-12-11,almeida junior,9,63,0.14285714285714285,4.603174603174603
2025-12-13,ajfans,9,22,0.4090909090909091,1.8181818181818183
2025-12-28,almeida junior shopping,9,28,0.32142857142857145,1.0
2025-12-29,ajfans,9,24,0.375,1.8333333333333335
2025-12-30,almeida junior shopping,9,22,0.4090909090909091,1.0
2026-01-04,almeida junior shopping,9,15,0.6,1.0
2026-01-06,almeida junior shopping,9,20,0.45,1.0
2026-01-08,ajfans,9,16,0.5625,1.5625
2026-01-10,almeida junior,9,51,0.17647058823529413,3.627450980392157
2026-01-11,almeida junior shopping,9,20,0.45,1.0
2026-01-12,almeida junior shopping,9,15,0.6,1.0
2026-01-13,grupo almeida junior,9,20,0.45,1.0
2026-01-15,almeida junior shopping,9,20,0.45,1.05
2026-01-20,almeida junior shopping,9,16,0.5625,1.0
2026-01-27,almeida junior shopping centers,9,10,0.9,1.0
2026-01-30,almeida junior,9,65,0.13846153846153847,3.353846153846154
2026-02-12,almeida junior,9,57,0.15789473684210525,3.3333333333333335
2026-03-04,almeida junior,9,108,0.08333333333333333,4.5092592592592595
2025-12-10,ajfans,8,19,0.42105263157894735,1.9473684210526314
2025-12-14,ajfans,8,21,0.38095238095238093,2.142857142857143
2025-12-15,ajfans,8,20,0.4,1.7
2025-12-18,almeida junior shopping,8,18,0.4444444444444444,1.0555555555555556
2025-12-20,aj fans,8,14,0.5714285714285714,1.1428571428571428
2025-12-21,almeida junior shopping,8,27,0.2962962962962963,18.037037037037038
2025-12-22,almeida junior shopping,8,19,0.42105263157894735,1.0
2025-12-23,almeida junior shopping,8,19,0.42105263157894735,1.0
2025-12-29,almeida junior,8,58,0.13793103448275862,6.586206896551724
2026-01-09,almeida junior,8,69,0.11594202898550725,4.260869565217391
2026-01-12,almeida junior shopping centers,8,15,0.5333333333333333,1.0
2026-01-13,almeida junior ri,8,8,1.0,1.0
2026-01-15,aj fans,8,10,0.8,1.5
2026-01-25,almeida junior,8,57,0.14035087719298245,4.228070175438596
2026-01-26,almeida junior,8,59,0.13559322033898305,3.23728813559322
2026-01-27,almeida junior shopping,8,12,0.6666666666666666,1.0833333333333333
2026-02-04,almeida junior,8,53,0.1509433962264151,3.943396226415094
2026-02-10,almeida junior,8,63,0.12698412698412698,3.6507936507936507
2026-02-10,almeida junior shopping centers,8,9,0.8888888888888888,1.0
2026-02-12,almeida junior shopping,8,10,0.8,1.0
2026-02-12,almeida junior shopping centers,8,11,0.7272727272727273,1.0
2026-03-02,almeida junior,8,79,0.10126582278481013,3.518987341772152
2026-03-05,grupo almeida junior,8,16,0.5,1.0
2026-03-06,almeida junior shopping centers,8,14,0.5714285714285714,1.0
2025-12-14,almeida junior,7,44,0.1590909090909091,4.840909090909091
2025-12-16,aj fans,7,12,0.5833333333333334,1.5833333333333335
2025-12-17,almeida junior,7,61,0.11475409836065574,8.950819672131146
2025-12-18,ajfans,7,35,0.2,1.8571428571428572
2025-12-19,aj fans,7,8,0.875,1.25
2025-12-20,almeida junior shopping,7,18,0.3888888888888889,1.0
2025-12-24,almeida junior,7,32,0.21875,3.875
2025-12-25,ajfans,7,22,0.3181818181818182,2.1363636363636367
2025-12-26,aj fans,7,14,0.5,1.4285714285714286
2025-12-26,almeida junior,7,58,0.1206896551724138,4.948275862068965
2025-12-27,almeida junior shopping,7,22,0.3181818181818182,1.0
2025-12-31,ajfans,7,19,0.3684210526315789,1.9473684210526314
2026-01-02,aj fans,7,8,0.875,1.0
2026-01-02,almeida junior,7,57,0.12280701754385964,4.368421052631579
2026-01-03,almeida junior shopping,7,12,0.5833333333333334,1.0
2026-01-07,ajfans,7,18,0.3888888888888889,1.4444444444444444
2026-01-09,almeida junior shopping,7,16,0.4375,1.0
2026-01-10,ajfans,7,27,0.25925925925925924,1.8888888888888888
2026-01-15,almeida junior shopping centers,7,10,0.7,1.0
2026-01-16,almeida junior shopping centers,7,8,0.875,1.0
2026-01-19,almeida junior,7,57,0.12280701754385964,3.1052631578947367
2026-01-21,almeida junior vagas,7,7,1.0,1.0
2026-01-23,aj fans,7,7,1.0,1.0
2026-02-11,almeida junior,7,77,0.09090909090909091,4.142857142857142
2026-02-13,almeida junior,7,58,0.1206896551724138,3.9827586206896552
2026-02-17,almeida junior,7,39,0.1794871794871795,4.538461538461538
2026-02-18,aj fans,7,13,0.5384615384615384,1.1538461538461537
2026-02-19,almeida junior,7,79,0.08860759493670886,4.898734177215189
2026-03-05,almeida junior ri,7,7,1.0,1.0
2025-12-10,almeida junior shopping,6,12,0.5,1.0
2025-12-11,shoppings almeida junior,6,6,1.0,1.0
2025-12-13,almeida junior,6,63,0.09523809523809523,8.365079365079364
2025-12-13,almeida junior shopping,6,12,0.5,1.0
2025-12-14,aj fans,6,8,0.75,1.0
2025-12-16,almeida junior,6,70,0.08571428571428572,4.271428571428571
2025-12-18,almeida junior,6,54,0.1111111111111111,4.333333333333334
2025-12-18,shopping almeida junior,6,8,0.75,1.0
2025-12-23,grupo almeida junior,6,11,0.5454545454545454,1.0
2025-12-31,almeida junior,6,40,0.15,4.075
2026-01-01,almeida junior,6,39,0.15384615384615385,6.333333333333333
2026-01-03,ajfans,6,18,0.3333333333333333,1.8888888888888888
2026-01-04,ajfans,6,20,0.3,1.95
2026-01-05,aj fans,6,9,0.6666666666666666,1.0
2026-01-05,almeida junior shopping,6,8,0.75,1.0
2026-01-09,ajfans,6,20,0.3,2.0
2026-01-09,grupo almeida junior,6,9,0.6666666666666666,1.0
2026-01-13,ajfans,6,11,0.5454545454545454,2.090909090909091
2026-01-14,aj fans,6,13,0.46153846153846156,1.3846153846153846
2026-01-14,almeida junior shopping,6,16,0.375,1.0
2026-01-14,almeida junior shopping centers,6,18,0.3333333333333333,26.666666666666668
2026-01-16,almeida junior shopping,6,18,0.3333333333333333,1.0
2026-01-16,shopping almeida junior,6,9,0.6666666666666666,1.0
2026-01-16,sorteio almeida junior,6,14,0.42857142857142855,2.0
2026-01-18,almeida junior shopping,6,11,0.5454545454545454,1.0
2026-01-23,almeida junior,6,63,0.09523809523809523,9.015873015873016
2026-01-26,almeida junior shopping,6,11,0.5454545454545454,1.0
2026-01-27,grupo almeida junior,6,8,0.75,1.125
2026-02-03,almeida junior shopping centers,6,8,0.75,1.0
2026-02-05,grupo almeida junior,6,7,0.8571428571428571,1.0
2026-02-14,almeida junior,6,42,0.14285714285714285,5.309523809523809
2026-02-21,aj fans,6,8,0.75,2.0
2026-02-26,almeida junior shopping,6,14,0.42857142857142855,1.0
2026-03-02,almeida junior shopping centers,6,10,0.6,1.0
2026-03-06,almeida junior,6,65,0.09230769230769231,4.892307692307693
2026-03-06,grupo almeida junior,6,12,0.5,1.0
2025-12-10,shopping almeida junior,5,7,0.7142857142857143,1.0
2025-12-11,ajfans,5,17,0.29411764705882354,2.1176470588235294
2025-12-11,almeida junior shopping,5,9,0.5555555555555556,1.0
2025-12-11,almeida junior shopping centers,5,8,0.625,1.0
2025-12-12,almeida junior shopping,5,9,0.5555555555555556,1.0
2025-12-16,almeida junior shopping,5,14,0.35714285714285715,1.0
2025-12-19,almeida junior shopping,5,22,0.22727272727272727,1.0454545454545454
2025-12-21,aj fans,5,9,0.5555555555555556,1.0
2025-12-21,almeida junior,5,44,0.11363636363636363,7.7727272727272725
2025-12-23,aj fans,5,13,0.38461538461538464,1.0769230769230769
2025-12-29,almeida junior shopping,5,10,0.5,1.0
2025-12-30,grupo almeida junior,5,8,0.625,1.0
2025-12-30,shopping almeida junior,5,9,0.5555555555555556,1.0
2026-01-01,ajfans,5,11,0.45454545454545453,1.7272727272727273
2026-01-02,ajfans,5,13,0.38461538461538464,2.0769230769230766
2026-01-03,aj fans,5,9,0.5555555555555556,1.3333333333333333
2026-01-03,almeida junior,5,47,0.10638297872340426,4.25531914893617
