date,query,device,cliques,impressoes,ctr,posicao
2026-01-12,almeida junior,DESKTOP,15,44,0.3409090909090909,7.909090909090909
2026-01-28,almeida junior,DESKTOP,14,41,0.34146341463414637,2.6829268292682924
2026-02-23,almeida junior,DESKTOP,14,50,0.28,3.14
2025-12-26,almeida junior shopping,MOBILE,12,18,0.6666666666666666,1.0
2026-01-08,almeida junior,DESKTOP,12,46,0.2608695652173913,8.369565217391305
2026-01-21,almeida junior,DESKTOP,12,41,0.2926829268292683,3.5121951219512195
2026-01-29,almeida junior,DESKTOP,12,39,0.3076923076923077,3.8205128205128207
2025-12-23,almeida junior,DESKTOP,11,22,0.5,3.272727272727273
2026-01-11,ajfans,MOBILE,11,23,0.4782608695652174,2.217391304347826
2026-01-12,almeida junior,MOBILE,11,42,0.2619047619047619,4.119047619047619
2026-01-20,almeida junior,DESKTOP,11,49,0.22448979591836735,7.285714285714286
2026-02-01,almeida junior shopping,MOBILE,11,19,0.5789473684210527,1.0
2026-02-27,almeida junior,DESKTOP,11,36,0.3055555555555556,2.25
2025-12-23,ajfans,DESKTOP,10,14,0.7142857142857143,1.5
2025-12-24,ajfans,MOBILE,10,26,0.38461538461538464,2.0769230769230766
2026-01-05,almeida junior,DESKTOP,10,28,0.35714285714285715,2.4642857142857144
2026-01-13,almeida junior,DESKTOP,10,27,0.37037037037037035,2.2592592592592595
2026-01-15,almeida junior,DESKTOP,10,33,0.30303030303030304,10.242424242424242
2026-01-27,almeida junior,DESKTOP,10,49,0.20408163265306123,8.224489795918366
2026-02-02,almeida junior,DESKTOP,10,46,0.21739130434782608,8.108695652173914
2026-03-09,almeida junior,DESKTOP,10,44,0.22727272727272727,4.136363636363637
2025-12-15,almeida junior,DESKTOP,9,34,0.2647058823529412,3.176470588235294
2025-12-19,ajfans,DESKTOP,9,14,0.6428571428571429,2.0
2025-12-20,almeida junior,MOBILE,9,33,0.2727272727272727,4.03030303030303
2025-12-24,almeida junior shopping,MOBILE,9,15,0.6,1.0
2025-12-28,almeida junior shopping,MOBILE,9,27,0.3333333333333333,1.0
2026-01-04,almeida junior shopping,MOBILE,9,13,0.6923076923076923,1.0
