campaign_id,conversion,cpc,clicks,spend,ctr,cpm,impressions,conversion_rate,cost_per_conversion,frequency,reach,shopping,shopping_sigla,campaign_name,objective_type
1872627587449090,0,5.04,59,297.61,1.16,58.67,5073,0.0,0.0,1.52,3347,Nacoes Shopping,NS,TRAF - PAIS 26 ,TRAFFIC
1872627476581490,0,0.93,540,500.0,0.21,1.98,252838,0.0,0.0,2.41,104892,Nacoes Shopping,NS,ALC - PAIS 26 ,REACH
1869534510406689,0,0.0,0,212.83,0.0,11.47,18548,0.0,0.0,1.84,10101,Nacoes Shopping,NS,Interações com a comunidade - NS,ENGAGEMENT
1869534432183409,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - CIRCO,REACH
1869534270825826,0,0.0,0,500.0,0.0,2.33,214838,0.0,0.0,2.18,98334,Nacoes Shopping,NS,ALC - SALE,REACH
1866451828239378,0,0.0,0,349.99,0.0,1.77,197475,0.0,0.0,3.33,59325,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451636143266,0,0.02,25829,500.0,27.28,5.28,94684,0.0,0.0,8.28,11439,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866441986593986,0,1.0,500,499.99,0.2,1.97,253999,0.0,0.0,2.86,88756,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1863928955315249,0,0.03,19608,500.0,16.09,4.1,121895,0.0,0.0,6.05,20162,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1863928702907457,0,0.87,574,500.0,0.23,2.0,249511,0.0,0.0,2.54,98391,Nacoes Shopping,NS,ALC - PROMO MAES,REACH
1855686889040914,0,0.0,0,299.98,0.0,1.96,152789,0.0,0.0,3.04,50216,Nacoes Shopping,NS,ALC - Carna PET,REACH
1855686756345922,0,0.0,0,299.82,0.0,1.92,155922,0.0,0.0,3.47,44923,Nacoes Shopping,NS,ALC - Bloko Rosa,REACH
1855492566896834,0,0.0,0,499.99,0.0,1.69,296297,0.0,0.0,6.52,45445,Nacoes Shopping,NS,ALC - Smart Zoo,REACH
1854324488425522,0,0.0,0,241.91,0.0,1.77,136337,0.0,0.0,3.85,35457,Nacoes Shopping,NS,ALC - LIQUIDA,REACH
1854324205639697,0,0.0,0,199.99,0.0,1.62,123628,0.0,0.0,5.15,23993,Nacoes Shopping,NS,ALC - FERIAS NACOES SHOPPING,REACH
1850600369247313,0,0.0,0,349.85,0.0,2.18,160128,0.0,0.0,3.19,50185,Nacoes Shopping,NS,ALC - LEGUEIROS,REACH
1849888269536369,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade - Aramis ,ENGAGEMENT
1849887841738834,0,2.03,662,1345.66,0.13,2.67,503444,0.0,0.0,4.75,105898,Nacoes Shopping,NS,ALC - NATAL 25 02,REACH
1849768886744178,0,0.0,0,300.0,0.0,3.04,98771,0.0,0.0,2.08,47588,Nacoes Shopping,NS,ALC - BLACK FRIDAY - NS,REACH
1848504928619618,0,0.04,49091,1840.98,13.41,5.03,366209,0.0,0.0,6.68,54843,Nacoes Shopping,NS,TRAF - NATAL 25,TRAFFIC
1848504162177105,0,2.14,243,519.8,0.17,3.57,145491,0.0,0.0,3.12,46650,Nacoes Shopping,NS,ALC - NATAL 25,REACH
1847432144410706,0,0.0,0,130.27,0.0,2.19,59530,0.0,0.0,2.15,27716,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
1847431562326049,0,0.0,0,111.27,0.0,2.31,48195,0.0,0.0,2.26,21337,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
1847431714944034,0,1.16,130,151.09,0.19,2.24,67578,0.0,0.0,2.21,30640,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
1847431181554881,0,138.45,1,138.45,0.0,3.91,35410,0.0,0.0,1.68,21102,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
1847429807403074,0,200.0,1,200.0,0.0,3.47,57666,0.0,0.0,1.69,34109,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
1844352110838818,0,0.0,0,499.83,0.0,2.23,224621,0.0,0.0,3.97,56592,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,0,0.0,0,499.8,0.0,2.23,224033,0.0,0.0,4.07,55082,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1842808228610226,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Baby shark ,REACH
1841798413913185,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
1839172523773954,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Conteúdos  de Julho/Ago ,REACH
1839171851594785,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Copo Stitch ,REACH
1837986374341105,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Tres porquinhos ,REACH
1837827299194945,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Cafés ,REACH
1837825955991570,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade - Festa junina pet,ENGAGEMENT
1837825011433617,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Copo smurf ,REACH
1837823875988513,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC -  tendência athleisure ,REACH
1836365551154273,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Villa - Vinicius Camilo ,REACH
1836365112269874,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - planet games,REACH
1836105652221986,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Cafés,REACH
1834189805149297,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Menu Mamma Mia,REACH
1834024046778385,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade - Panda Cafe,ENGAGEMENT
1834023865172002,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Campanha Namorados,REACH
1832310190695458,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Balde Stich,REACH
1832195984469169,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Boliche,REACH
1832195369412610,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - show beatles,REACH
1831563577497601,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Promo mães,REACH
1830747281548321,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT
1830746252922946,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
1830745925410866,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Promo mães,REACH
1828954373297185,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Ovo cacau show,REACH
1828407150156946,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
1828314519850002,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
1827595524859954,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
1827595014894625,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
1827046369261585,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
1826392596491314,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Outback ,REACH
1826236413448242,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | St Patricks Festival,REACH
1824583004169233,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
1824314134904865,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ENG - Carnaval,ENGAGEMENT
1823854793231362,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade | Cassol ,ENGAGEMENT
1823699330763778,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | Vídeo Argentinos,REACH
1823040792795217,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interações com a Comunidade - Fev 25,ENGAGEMENT
1823040324441121,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Fev,REACH
1822766646405122,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Mix nutella BK,REACH
1822522215426082,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Musical Lilo Stich,REACH
1821790933462033,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - fábrica de chocolate ,REACH
1821235597787186,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interações com a comunidade - Jan 25,ENGAGEMENT
1821234482256897,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - Gloss honey ,REACH
1820714949888002,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach | Space park ,REACH
1818078097231889,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Traffic - Natal - Institucional,TRAFFIC
1817609919756402,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Community interaction - Trono pet,ENGAGEMENT
1817609770112114,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach -Natal,REACH
1817439629678641,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - Natal 02,REACH
1816174292453393,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - BF ,REACH
1816174151943202,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Community interaction - Black Friday ,ENGAGEMENT
1815433664760850,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - Criativos Novembro,REACH
1815433202016337,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Traffic - Natal 2,TRAFFIC
1815093378942994,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Traffic - Promo Natal,TRAFFIC
1814982629549185,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade - Novembro,ENGAGEMENT
1814982165049377,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Vídeos Novembro,REACH
1814439736065074,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Chegada do papai noel NS ,REACH
1811358948673554,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Tráfego - App instal - NS,TRAFFIC
1810464998160434,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade - Shakepistache ,ENGAGEMENT
1810464590019617,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Milkmoo,REACH
1810109298355250,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Promo Natura 2024 - Tráfego,TRAFFIC
1810108348443697,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Promo Natura 2024 - Alcance,REACH
1809919349622786,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Milkmoo,REACH
1809919004666930,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade - Shake Pistache ,ENGAGEMENT
1807304475777041,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NSpromopais24engaja,ENGAGEMENT
1806749763596289,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NSpromopais24,TRAFFIC
1803766128488498,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NSMalvado24,VIDEO_VIEWS
1800846207854594,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NSnamorados24II,VIDEO_VIEWS
1800600888459297,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NSnamorados24,VIDEO_VIEWS
1797496106400786,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NS maes 24,VIDEO_VIEWS
1793884858893329,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Musical Páscoa 24,VIDEO_VIEWS
1793877151496257,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Gigante em diversão,ENGAGEMENT
1790987037231105,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,NS Castelo Inflável,VIDEO_VIEWS
1788460577402897,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Mega Sale 2024,VIDEO_VIEWS
