campaign_id,campaign_name,objective_type,status,budget,shopping,shopping_sigla
1855686889040914,ALC - Carna PET,REACH,DISABLE,300.0,Nacoes Shopping,NS
1855686756345922,ALC - Bloko Rosa,REACH,DISABLE,300.0,Nacoes Shopping,NS
1855492566896834,ALC - Smart Zoo,REACH,DISABLE,500.0,Nacoes Shopping,NS
1854324488425522,ALC - LIQUIDA,REACH,DISABLE,300.0,Nacoes Shopping,NS
1854324205639697,ALC - FERIAS NACOES SHOPPING,REACH,DISABLE,200.0,Nacoes Shopping,NS
1850600369247313,ALC - LEGUEIROS,REACH,DISABLE,350.0,Nacoes Shopping,NS
1849888269536369,Interação com a comunidade - Aramis ,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1849887841738834,ALC - NATAL 25 02,REACH,DISABLE,1700.0,Nacoes Shopping,NS
1849768886744178,ALC - BLACK FRIDAY - NS,REACH,DISABLE,300.0,Nacoes Shopping,NS
1848504928619618,TRAF - NATAL 25,TRAFFIC,DISABLE,2000.0,Nacoes Shopping,NS
1848504162177105,ALC - NATAL 25,REACH,DISABLE,2000.0,Nacoes Shopping,NS
1847432144410706,Alcance | Chillibeans Vini ,REACH,DISABLE,150.0,Nacoes Shopping,NS
1847431714944034,Alcance | Giftcard ,REACH,DISABLE,300.0,Nacoes Shopping,NS
1847431562326049,Alcance | Ritmi Mana Spolini,REACH,DISABLE,200.0,Nacoes Shopping,NS
1847431181554881,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS,DISABLE,150.0,Nacoes Shopping,NS
1847429807403074,Visualizações de vídeo | Natal ,VIDEO_VIEWS,DISABLE,200.0,Nacoes Shopping,NS
1844352110838818,Alcance - Conteúdos Set ,REACH,DISABLE,500.0,Nacoes Shopping,NS
1844350458030129,Alcance - Giftcard ,REACH,DISABLE,500.0,Nacoes Shopping,NS
1842808228610226,ALC - Baby shark ,REACH,DISABLE,300.0,Nacoes Shopping,NS
1841798413913185,Alcance - Conteúdos Ago/Set ,REACH,DISABLE,700.0,Nacoes Shopping,NS
1839172523773954,ALC - Conteúdos  de Julho/Ago ,REACH,DISABLE,500.0,Nacoes Shopping,NS
1839171851594785,Alcance - Copo Stitch ,REACH,DISABLE,500.0,Nacoes Shopping,NS
1837986374341105,Alcance - Tres porquinhos ,REACH,DISABLE,150.0,Nacoes Shopping,NS
1837827299194945,ALC - Cafés ,REACH,DISABLE,300.0,Nacoes Shopping,NS
1837825955991570,Interação com a comunidade - Festa junina pet,ENGAGEMENT,DISABLE,120.0,Nacoes Shopping,NS
1837825011433617,Alcance - Copo smurf ,REACH,DISABLE,150.0,Nacoes Shopping,NS
1837823875988513,ALC -  tendência athleisure ,REACH,DISABLE,150.0,Nacoes Shopping,NS
1836365551154273,ALC - Villa - Vinicius Camilo ,REACH,DISABLE,500.0,Nacoes Shopping,NS
1836365112269874,ALC - planet games,REACH,DISABLE,500.0,Nacoes Shopping,NS
1836105652221986,ALC - Cafés,REACH,DISABLE,600.0,Nacoes Shopping,NS
1834189805149297,Alcance - Menu Mamma Mia,REACH,DISABLE,200.0,Nacoes Shopping,NS
1834024046778385,Interação com a comunidade - Panda Cafe,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1834023865172002,Alcance - Campanha Namorados,REACH,DISABLE,500.0,Nacoes Shopping,NS
1832310190695458,Alcance - Balde Stich,REACH,DISABLE,100.0,Nacoes Shopping,NS
1832195984469169,ALC - Boliche,REACH,DISABLE,100.0,Nacoes Shopping,NS
1832195369412610,Reach - show beatles,REACH,DISABLE,200.0,Nacoes Shopping,NS
1831563577497601,Alcance - Promo mães,REACH,DISABLE,72.5,Nacoes Shopping,NS
1830747281548321,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT,DISABLE,250.0,Nacoes Shopping,NS
1830746252922946,Alcance - Me nota Way,REACH,DISABLE,300.0,Nacoes Shopping,NS
1830745925410866,ALC - Promo mães,REACH,DISABLE,1000.0,Nacoes Shopping,NS
1828954373297185,Alcance | Ovo cacau show,REACH,DISABLE,250.0,Nacoes Shopping,NS
1828407150156946,Alcance | Dino,REACH,DISABLE,300.0,Nacoes Shopping,NS
1828314519850002,Alcance | Abr,REACH,DISABLE,200.0,Nacoes Shopping,NS
1827595524859954,ALC | Loja Me.linda,REACH,DISABLE,200.0,Nacoes Shopping,NS
1827595014894625,ENG | Outback ,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1827046369261585,Visualizações de vídeo | Março 25,VIDEO_VIEWS,DISABLE,660.0,Nacoes Shopping,NS
1826392596491314,Alcance | Outback ,REACH,DISABLE,300.0,Nacoes Shopping,NS
1826236413448242,ALC | St Patricks Festival,REACH,DISABLE,200.0,Nacoes Shopping,NS
1824583004169233,ALC - Outback ,REACH,DISABLE,200.0,Nacoes Shopping,NS
1824314134904865,ENG - Carnaval,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1823854793231362,Interação com a comunidade | Cassol ,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1823699330763778,ALC | Vídeo Argentinos,REACH,DISABLE,200.0,Nacoes Shopping,NS
1823040792795217,Interações com a Comunidade - Fev 25,ENGAGEMENT,DISABLE,1000.0,Nacoes Shopping,NS
1823040324441121,ALC - Fev,REACH,DISABLE,700.0,Nacoes Shopping,NS
1822766646405122,ALC - Mix nutella BK,REACH,DISABLE,50.0,Nacoes Shopping,NS
1822522215426082,Musical Lilo Stich,REACH,DISABLE,100.0,Nacoes Shopping,NS
1821790933462033,Alcance - fábrica de chocolate ,REACH,DISABLE,100.0,Nacoes Shopping,NS
1821235597787186,Interações com a comunidade - Jan 25,ENGAGEMENT,DISABLE,500.0,Nacoes Shopping,NS
1821234482256897,Reach - Gloss honey ,REACH,DISABLE,200.0,Nacoes Shopping,NS
