stat_time_day,total_complete_payment_rate,cpc,spend,engaged_view_15s,cpm,impressions,likes,video_watched_2s,average_video_play,shares,cost_per_conversion,video_views_p25,clicks_on_music_disc,follows,engaged_view,conversion,profile_visits,average_video_play_per_user,video_views_p75,video_play_actions,comments,video_views_p100,clicks,video_views_p50,video_watched_6s,ctr,conversion_rate,shopping,shopping_sigla
2025-10-23 00:00:00,0.0,0.0,22.95,37,2.55,8995,10,571,1.14,0,0.0,86,0,0,109,0,13,1.8,13,8926,0,8,0,24,106,0.0,0.0,Nacoes Shopping,NS
2025-10-11 00:00:00,0.0,0.0,34.72,63,2.03,17101,6,1118,1.14,0,0.0,133,0,2,202,0,31,2.29,27,16977,0,17,0,56,201,0.0,0.0,Nacoes Shopping,NS
2025-10-06 00:00:00,0.0,0.0,37.39,71,2.09,17926,12,1384,1.56,0,0.0,143,0,1,231,0,17,2.82,32,17806,0,23,0,60,239,0.0,0.0,Nacoes Shopping,NS
2025-10-01 00:00:00,0.0,0.0,40.19,112,2.1,19121,17,1646,1.29,0,0.0,192,0,2,289,0,31,2.5,37,18930,1,22,0,78,298,0.0,0.0,Nacoes Shopping,NS
2025-09-26 00:00:00,0.0,0.0,20.15,25,2.29,8799,6,505,1.1,0,0.0,51,0,0,91,0,3,3.31,15,8756,0,8,0,23,91,0.0,0.0,Nacoes Shopping,NS
2025-10-16 00:00:00,0.0,0.0,33.14,63,2.38,13915,8,1024,1.21,1,0.0,123,0,0,187,0,23,2.07,24,13816,0,15,0,41,189,0.0,0.0,Nacoes Shopping,NS
2025-10-21 00:00:00,0.0,0.0,27.18,31,2.46,11039,7,766,1.09,0,0.0,85,0,1,111,0,12,1.82,14,10966,0,10,0,27,110,0.0,0.0,Nacoes Shopping,NS
2025-10-08 00:00:00,0.0,0.0,37.29,69,2.33,15995,8,1281,1.22,0,0.0,137,0,3,215,0,25,2.11,31,15824,1,19,0,56,215,0.0,0.0,Nacoes Shopping,NS
2025-10-03 00:00:00,0.0,0.0,40.83,79,2.11,19340,15,1527,1.22,0,0.0,165,0,1,260,0,20,2.13,33,19177,0,16,0,60,264,0.0,0.0,Nacoes Shopping,NS
2025-09-28 00:00:00,0.0,0.0,42.78,65,2.34,18281,9,1159,1.17,1,0.0,120,0,0,190,0,14,2.8,29,18174,1,17,0,42,191,0.0,0.0,Nacoes Shopping,NS
2025-10-18 00:00:00,0.0,0.0,30.94,49,2.13,14516,9,799,1.66,0,0.0,105,0,3,154,0,17,3.28,21,14430,0,15,0,41,159,0.0,0.0,Nacoes Shopping,NS
2025-10-13 00:00:00,0.0,0.0,33.98,77,2.1,16174,13,1129,1.19,0,0.0,139,0,0,214,0,20,2.18,32,16070,1,21,0,49,221,0.0,0.0,Nacoes Shopping,NS
2025-10-19 00:00:00,0.0,0.0,29.35,62,2.13,13797,10,875,1.14,0,0.0,119,0,2,170,0,16,2.14,26,13707,0,14,0,46,169,0.0,0.0,Nacoes Shopping,NS
2025-10-14 00:00:00,0.0,0.0,33.94,76,2.23,15236,10,1107,1.21,0,0.0,129,0,1,212,0,26,2.17,35,15119,0,23,0,53,214,0.0,0.0,Nacoes Shopping,NS
2025-10-09 00:00:00,0.0,0.0,36.76,86,2.3,15966,3,1254,1.36,0,0.0,167,0,2,250,0,31,2.36,41,15832,0,20,0,70,253,0.0,0.0,Nacoes Shopping,NS
2025-10-04 00:00:00,0.0,0.0,38.47,78,1.99,19342,6,1389,1.18,0,0.0,149,0,0,251,0,36,2.32,33,19208,0,19,0,63,252,0.0,0.0,Nacoes Shopping,NS
2025-09-29 00:00:00,0.0,0.0,42.54,71,2.49,17102,9,1203,1.2,0,0.0,130,0,1,195,0,15,2.51,30,16986,0,15,0,59,199,0.0,0.0,Nacoes Shopping,NS
2025-10-24 00:00:00,0.0,0.0,13.93,21,2.36,5910,5,402,1.11,0,0.0,68,0,0,68,0,3,1.47,14,5868,0,9,0,28,64,0.0,0.0,Nacoes Shopping,NS
2025-10-17 00:00:00,0.0,0.0,33.59,60,2.29,14644,6,964,1.18,0,0.0,126,0,0,179,0,12,2.06,22,14542,0,15,0,48,178,0.0,0.0,Nacoes Shopping,NS
2025-10-12 00:00:00,0.0,0.0,34.86,54,1.98,17636,6,1172,1.14,0,0.0,128,0,1,201,0,26,2.21,32,17533,0,16,0,47,204,0.0,0.0,Nacoes Shopping,NS
2025-10-07 00:00:00,0.0,0.0,38.01,69,2.23,17068,6,1399,1.26,0,0.0,142,0,2,222,0,23,2.19,28,16926,0,15,0,56,224,0.0,0.0,Nacoes Shopping,NS
2025-10-02 00:00:00,0.0,0.0,40.75,96,2.18,18686,13,1612,1.33,0,0.0,199,0,0,284,0,21,2.46,47,18515,1,29,0,87,284,0.0,0.0,Nacoes Shopping,NS
2025-10-22 00:00:00,0.0,0.0,25.24,38,2.6,9722,3,617,1.14,1,0.0,81,0,0,102,0,17,1.83,18,9635,0,12,0,36,105,0.0,0.0,Nacoes Shopping,NS
2025-09-27 00:00:00,0.0,0.0,42.29,52,2.42,17467,2,1073,1.13,0,0.0,125,0,0,191,0,23,3.06,26,17373,0,13,0,51,196,0.0,0.0,Nacoes Shopping,NS
2025-10-05 00:00:00,0.0,0.0,37.51,67,1.95,19237,6,1365,1.19,0,0.0,159,0,0,227,0,34,2.28,34,19115,0,21,0,61,234,0.0,0.0,Nacoes Shopping,NS
2025-09-30 00:00:00,0.0,0.0,41.56,59,2.51,16584,9,1240,1.21,0,0.0,139,0,0,222,0,8,2.39,25,16456,0,13,0,60,229,0.0,0.0,Nacoes Shopping,NS
2025-10-20 00:00:00,0.0,0.0,28.54,48,2.24,12737,7,816,1.11,0,0.0,95,0,1,143,0,18,2.0,20,12647,0,11,0,39,145,0.0,0.0,Nacoes Shopping,NS
2025-10-15 00:00:00,0.0,0.0,32.7,60,2.35,13922,7,1043,1.23,0,0.0,116,0,0,194,0,19,2.17,31,13811,0,13,0,60,201,0.0,0.0,Nacoes Shopping,NS
2025-10-10 00:00:00,0.0,0.0,37.58,73,2.14,17566,16,1201,1.19,0,0.0,155,0,3,233,0,29,2.11,34,17441,0,19,0,57,232,0.0,0.0,Nacoes Shopping,NS
2025-11-22 00:00:00,0.0,0.08,64.4,1638,4.38,14718,4,2524,2.76,0,0.0,2376,0,1,2227,0,9,3.46,1435,12261,0,1146,843,1786,1705,5.73,0.0,Nacoes Shopping,NS
2025-11-17 00:00:00,0.0,0.07,77.23,2518,4.81,16071,5,3184,3.5,0,0.0,3067,0,0,3126,0,14,4.51,2205,14098,0,1874,1037,2401,2408,6.45,0.0,Nacoes Shopping,NS
2025-11-12 00:00:00,0.0,0.09,80.31,2359,4.27,18801,3,3102,2.76,1,0.0,2979,0,2,2905,0,24,3.72,2023,16281,0,1766,937,2210,2250,4.98,0.0,Nacoes Shopping,NS
2025-11-07 00:00:00,0.0,7.49,59.9,481,2.93,20477,68,4570,2.27,0,0.0,1581,0,13,1496,0,45,3.5,420,20307,3,202,8,656,1657,0.04,0.0,Nacoes Shopping,NS
2025-11-02 00:00:00,0.0,3.28,68.81,851,2.48,27761,97,7458,2.48,2,0.0,3016,0,13,2733,0,58,3.77,794,27603,1,404,21,1274,2979,0.08,0.0,Nacoes Shopping,NS
2025-11-05 00:00:00,0.0,4.24,67.83,716,2.69,25235,125,6410,2.4,2,0.0,2468,0,12,2287,0,56,3.39,625,24994,4,296,16,994,2502,0.06,0.0,Nacoes Shopping,NS
2025-10-31 00:00:00,0.0,8.63,77.64,774,3.03,25618,132,6432,2.46,2,0.0,2598,0,20,2521,0,87,4.13,690,25445,4,330,9,1079,2748,0.04,0.0,Nacoes Shopping,NS
2025-10-26 00:00:00,0.0,0.0,1.63,1,1.98,825,0,45,0.98,0,0.0,6,0,0,6,0,2,1.1,1,824,0,1,0,3,6,0.0,0.0,Nacoes Shopping,NS
2025-11-20 00:00:00,0.0,0.09,74.49,2117,4.86,15321,4,2908,3.08,0,0.0,2816,0,0,2780,0,24,3.95,1785,14145,0,1561,870,2143,2137,5.68,0.0,Nacoes Shopping,NS
2025-11-15 00:00:00,0.0,0.1,77.07,1799,4.55,16921,4,2646,2.64,0,0.0,2509,0,1,2336,0,29,3.27,1699,14899,0,1340,756,1880,1801,4.47,0.0,Nacoes Shopping,NS
2025-11-10 00:00:00,0.0,4.61,41.48,195,2.83,14680,33,2082,1.73,0,0.0,358,0,6,463,0,27,2.39,121,14523,1,80,9,194,472,0.06,0.0,Nacoes Shopping,NS
