hora,shopping,shopping_sigla,likes,comments,ctr,profile_visits,total_complete_payment_rate,conversion,conversion_rate,cost_per_conversion,spend,clicks,cpc,clicks_on_music_disc,impressions,cpm,shares,follows
0,Nacoes Shopping,NS,35,0,14.75,36,0.0,0,0.0,0.0,49.99,18,13.78,0,19491,433.67,0,13
1,Nacoes Shopping,NS,21,0,2.56,24,0.0,0,0.0,0.0,34.12,13,7.49,0,12088,77.48,1,8
2,Nacoes Shopping,NS,11,0,4.13,17,0.0,0,0.0,0.0,31.71,12,11.18,0,7294,129.18,0,4
3,Nacoes Shopping,NS,8,0,2.82,9,0.0,0,0.0,0.0,16.43,6,2.9999999999999996,0,4709,107.46,0,3
4,Nacoes Shopping,NS,15,0,2.92,6,0.0,0,0.0,0.0,15.77,5,1.65,0,4139,106.03,0,3
5,Nacoes Shopping,NS,10,0,1.12,10,0.0,0,0.0,0.0,18.55,3,1.7000000000000002,0,5582,98.97999999999999,1,5
6,Nacoes Shopping,NS,18,0,2.41,19,0.0,0,0.0,0.0,31.85,12,6.05,0,11147,72.66,0,6
7,Nacoes Shopping,NS,24,1,2.41,16,0.0,0,0.0,0.0,52.58,15,12.6,0,13794,88.73,1,5
8,Nacoes Shopping,NS,28,2,2.7,16,0.0,0,0.0,0.0,36.57,14,7.69,0,13027,71.13,0,9
9,Nacoes Shopping,NS,28,1,2.64,14,0.0,0,0.0,0.0,46.39,14,8.22,0,13405,94.72,0,11
10,Nacoes Shopping,NS,27,0,4.86,23,0.0,0,0.0,0.0,41.81,27,8.03,0,14485,81.13,0,8
11,Nacoes Shopping,NS,27,0,2.39,32,0.0,0,0.0,0.0,49.76,16,12.200000000000001,0,17020,88.6,0,9
12,Nacoes Shopping,NS,53,0,7.38,45,0.0,0,0.0,0.0,103.03999999999999,36,27.96,0,23920,242.26,0,11
13,Nacoes Shopping,NS,34,0,8.44,59,0.0,0,0.0,0.0,102.27,41,41.519999999999996,0,24881,446.19,1,10
14,Nacoes Shopping,NS,39,0,6.49,38,0.0,0,0.0,0.0,92.66,39,40.709999999999994,0,22503,956.31,1,9
15,Nacoes Shopping,NS,38,1,6.72,42,0.0,0,0.0,0.0,64.47,29,20.5,0,22381,351.65,1,8
16,Nacoes Shopping,NS,48,0,13.39,30,0.0,0,0.0,0.0,78.84,28,22.91,0,26007,404.34000000000003,0,15
17,Nacoes Shopping,NS,56,0,5.76,43,0.0,0,0.0,0.0,98.3,32,24.95,0,32748,295.19,0,10
18,Nacoes Shopping,NS,49,0,1.94,43,0.0,0,0.0,0.0,94.61,31,16.11,0,37049,72.03,1,25
19,Nacoes Shopping,NS,60,0,1.96,52,0.0,0,0.0,0.0,99.95,33,19.99,0,38031,67.14,0,22
20,Nacoes Shopping,NS,63,0,4.79,60,0.0,0,0.0,0.0,118.35,47,19.68,0,39726,228.28,0,18
21,Nacoes Shopping,NS,56,0,2.85,66,0.0,0,0.0,0.0,111.34,49,13.27,0,39726,69.15,1,10
22,Nacoes Shopping,NS,63,1,4.33,78,0.0,0,0.0,0.0,91.78,50,14.47,0,37448,114.31,4,17
23,Nacoes Shopping,NS,54,0,2.18,63,0.0,0,0.0,0.0,68.95,29,18.24,0,30453,63.01,0,14
