platform,stat_time_day,cost_per_conversion,conversion,spend,clicks,ctr,conversion_rate,cpm,cpc,impressions,shopping,shopping_sigla
ANDROID,2025-09-26 00:00:00,0.0,0,11.84,0,0.0,0.0,2.33,0.0,5083,Nacoes Shopping,NS
IPHONE,2025-09-26 00:00:00,0.0,0,8.28,0,0.0,0.0,2.23,0.0,3709,Nacoes Shopping,NS
IPAD,2025-09-26 00:00:00,0.0,0,0.03,0,0.0,0.0,4.29,0.0,7,Nacoes Shopping,NS
ANDROID,2025-09-27 00:00:00,0.0,0,24.48,0,0.0,0.0,2.41,0.0,10159,Nacoes Shopping,NS
IPHONE,2025-09-27 00:00:00,0.0,0,17.8,0,0.0,0.0,2.44,0.0,7302,Nacoes Shopping,NS
IPAD,2025-09-27 00:00:00,0.0,0,0.01,0,0.0,0.0,1.67,0.0,6,Nacoes Shopping,NS
ANDROID,2025-09-28 00:00:00,0.0,0,24.44,0,0.0,0.0,2.3,0.0,10632,Nacoes Shopping,NS
IPHONE,2025-09-28 00:00:00,0.0,0,18.31,0,0.0,0.0,2.4,0.0,7633,Nacoes Shopping,NS
IPAD,2025-09-28 00:00:00,0.0,0,0.03,0,0.0,0.0,1.88,0.0,16,Nacoes Shopping,NS
ANDROID,2025-09-29 00:00:00,0.0,0,25.51,0,0.0,0.0,2.51,0.0,10179,Nacoes Shopping,NS
IPHONE,2025-09-29 00:00:00,0.0,0,16.99,0,0.0,0.0,2.46,0.0,6903,Nacoes Shopping,NS
IPAD,2025-09-29 00:00:00,0.0,0,0.04,0,0.0,0.0,2.0,0.0,20,Nacoes Shopping,NS
UNKNOWN,2025-09-30 00:00:00,0.0,0,0.01,0,0.0,0.0,0.0,0.0,0,Nacoes Shopping,NS
ANDROID,2025-09-30 00:00:00,0.0,0,25.98,0,0.0,0.0,2.51,0.0,10364,Nacoes Shopping,NS
IPHONE,2025-09-30 00:00:00,0.0,0,15.54,0,0.0,0.0,2.5,0.0,6204,Nacoes Shopping,NS
IPAD,2025-09-30 00:00:00,0.0,0,0.03,0,0.0,0.0,1.88,0.0,16,Nacoes Shopping,NS
UNKNOWN,2025-10-01 00:00:00,0.0,0,0.01,0,0.0,0.0,0.0,0.0,0,Nacoes Shopping,NS
ANDROID,2025-10-01 00:00:00,0.0,0,20.9,0,0.0,0.0,2.02,0.0,10365,Nacoes Shopping,NS
IPHONE,2025-10-01 00:00:00,0.0,0,19.24,0,0.0,0.0,2.2,0.0,8731,Nacoes Shopping,NS
IPAD,2025-10-01 00:00:00,0.0,0,0.04,0,0.0,0.0,1.6,0.0,25,Nacoes Shopping,NS
