campaign_id,stat_time_day,video_play_actions,video_watched_2s,average_video_play_per_user,cpc,conversion,ctr,engaged_view,clicks,engaged_view_15s,spend,video_views_p100,total_complete_payment_rate,video_views_p50,video_views_p75,video_views_p25,conversion_rate,cost_per_conversion,average_video_play,video_watched_6s,cpm,impressions,shopping,shopping_sigla,campaign_name,objective_type
1844352110838818,2025-10-13 00:00:00,8266,562,1.56,0.0,0,0.0,107,0,42,17.47,5,0.0,16,7,44,0.0,0.0,1.17,113,2.1,8328,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-03 00:00:00,9852,777,1.58,0.0,0,0.0,156,0,51,20.98,6,0.0,31,14,58,0.0,0.0,1.25,164,2.11,9953,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-10-03 00:00:00,9325,750,1.43,0.0,0,0.0,104,0,28,19.85,10,0.0,29,19,107,0.0,0.0,1.19,100,2.11,9387,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-23 00:00:00,4748,323,1.38,0.0,0,0.0,52,0,16,12.17,7,0.0,18,8,68,0.0,0.0,1.17,51,2.54,4788,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-13 00:00:00,7804,567,1.55,0.0,0,0.0,107,0,35,16.51,16,0.0,33,25,95,0.0,0.0,1.22,108,2.1,7846,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844352110838818,2025-10-23 00:00:00,4178,248,1.4,0.0,0,0.0,57,0,21,10.78,1,0.0,6,5,18,0.0,0.0,1.11,55,2.56,4207,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-10-16 00:00:00,6786,530,1.5,0.0,0,0.0,86,0,29,16.26,10,0.0,27,15,83,0.0,0.0,1.21,86,2.38,6827,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-06 00:00:00,8732,665,2.23,0.0,0,0.0,93,0,25,18.37,13,0.0,35,18,93,0.0,0.0,1.82,94,2.09,8788,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-09-26 00:00:00,4229,229,1.76,0.0,0,0.0,44,0,9,9.75,5,0.0,14,10,33,0.0,0.0,1.06,44,2.3,4244,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844352110838818,2025-10-10 00:00:00,9017,631,1.63,0.0,0,0.0,148,0,52,19.38,8,0.0,27,19,56,0.0,0.0,1.26,149,2.13,9093,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-09-30 00:00:00,8531,604,1.69,0.0,0,0.0,118,0,37,21.55,3,0.0,15,6,40,0.0,0.0,1.19,122,2.51,8600,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-20 00:00:00,6217,399,1.44,0.0,0,0.0,73,0,20,13.99,1,0.0,11,4,25,0.0,0.0,1.1,75,2.23,6262,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-10-14 00:00:00,7475,557,1.51,0.0,0,0.0,89,0,33,16.85,20,0.0,37,26,83,0.0,0.0,1.2,89,2.24,7536,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-04 00:00:00,9466,668,1.48,0.0,0,0.0,110,0,28,18.92,16,0.0,45,23,100,0.0,0.0,1.17,108,1.99,9524,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844352110838818,2025-10-24 00:00:00,1250,86,1.27,0.0,0,0.0,17,0,3,3.03,0,0.0,0,0,4,0.0,0.0,1.08,17,2.39,1266,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-10-24 00:00:00,4618,316,1.34,0.0,0,0.0,51,0,18,10.9,9,0.0,28,14,64,0.0,0.0,1.12,47,2.35,4644,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844352110838818,2025-10-04 00:00:00,9742,721,1.58,0.0,0,0.0,141,0,50,19.55,3,0.0,18,10,49,0.0,0.0,1.2,144,1.99,9818,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-14 00:00:00,7644,550,1.63,0.0,0,0.0,123,0,43,17.09,3,0.0,16,9,46,0.0,0.0,1.22,125,2.22,7700,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1811358948673554,2025-09-27 00:00:00,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,Nacoes Shopping,NS,Tráfego - App instal - NS,TRAFFIC
1844352110838818,2025-10-07 00:00:00,8738,686,1.61,0.0,0,0.0,117,0,43,19.67,2,0.0,22,9,41,0.0,0.0,1.23,117,2.23,8826,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-09-27 00:00:00,8946,534,1.93,0.0,0,0.0,96,0,31,21.78,5,0.0,17,8,39,0.0,0.0,1.16,100,2.42,8998,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-17 00:00:00,7229,426,1.47,0.0,0,0.0,85,0,29,16.62,4,0.0,17,8,34,0.0,0.0,1.17,85,2.28,7279,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-10-17 00:00:00,7313,538,1.47,0.0,0,0.0,94,0,31,16.97,11,0.0,31,14,92,0.0,0.0,1.2,93,2.3,7365,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-07 00:00:00,8188,713,1.58,0.0,0,0.0,105,0,26,18.34,13,0.0,34,19,101,0.0,0.0,1.29,107,2.23,8242,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-09-27 00:00:00,8427,539,1.73,0.0,0,0.0,95,0,21,20.51,8,0.0,34,18,86,0.0,0.0,1.11,96,2.42,8469,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844352110838818,2025-10-11 00:00:00,8669,581,1.56,0.0,0,0.0,119,0,38,17.74,2,0.0,19,6,43,0.0,0.0,1.15,118,2.03,8739,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-21 00:00:00,5454,380,1.39,0.0,0,0.0,58,0,16,13.47,2,0.0,8,3,18,0.0,0.0,1.08,59,2.45,5492,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-01 00:00:00,9733,797,1.84,0.0,0,0.0,161,0,60,20.69,5,0.0,29,13,61,0.0,0.0,1.29,166,2.1,9848,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-10-20 00:00:00,6430,417,1.41,0.0,0,0.0,70,0,28,14.55,10,0.0,28,16,70,0.0,0.0,1.11,70,2.25,6475,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-10 00:00:00,8424,570,1.36,0.0,0,0.0,85,0,21,18.2,11,0.0,30,15,99,0.0,0.0,1.11,83,2.15,8473,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-09-30 00:00:00,7925,636,1.62,0.0,0,0.0,104,0,22,20.01,10,0.0,45,19,99,0.0,0.0,1.23,107,2.51,7984,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844352110838818,2025-10-18 00:00:00,7274,394,1.54,0.0,0,0.0,89,0,33,15.53,7,0.0,21,9,33,0.0,0.0,1.14,93,2.12,7316,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-10-08 00:00:00,8053,658,1.56,0.0,0,0.0,117,0,34,19.04,1,0.0,11,7,32,0.0,0.0,1.21,114,2.34,8150,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844352110838818,2025-09-28 00:00:00,9402,621,1.9,0.0,0,0.0,106,0,39,22.09,6,0.0,19,12,37,0.0,0.0,1.21,105,2.34,9460,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,2025-09-28 00:00:00,8772,538,1.65,0.0,0,0.0,84,0,26,20.69,11,0.0,23,17,83,0.0,0.0,1.13,86,2.35,8821,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-18 00:00:00,7156,405,2.84,0.0,0,0.0,65,0,16,15.41,8,0.0,20,12,72,0.0,0.0,2.17,66,2.14,7200,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1844350458030129,2025-10-08 00:00:00,7771,623,1.55,0.0,0,0.0,98,0,35,18.25,18,0.0,45,24,105,0.0,0.0,1.24,101,2.33,7845,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
